date,zinc_price,zinc_price_quarterly,zinc_price_yearly,zinc_price_3y,zinc_price_5y,zinc_price_price_floor,zinc_price_floor_spot_3y,zinc_price_floor_spot_5y
2010-04-01,2367.5,2267.854347826087,2015.5804895390659,2133.4514062767716,2354.226986939241,2133.4514062767716,2133.4514062767716,2354.226986939241
2010-05-01,1969.78947368421,2204.850839054157,2055.353077258364,2081.292119170116,2366.298353167311,1969.78947368421,1969.78947368421,1969.78947368421
2010-06-01,1746.51136363636,2027.9336124401905,2071.164630288667,2029.0103581071048,2374.188580440038,1746.51136363636,1746.51136363636,1746.51136363636
2010-07-01,1847.02727272727,1854.4427033492802,2093.3453450449247,1981.8084641677108,2385.0251460966037,1847.02727272727,1847.02727272727,1847.02727272727
2010-08-01,2047.47619047619,1880.3382756132735,2112.467319251274,1948.566956832454,2397.4710371499946,1948.566956832454,1948.566956832454,2047.47619047619
2010-09-01,2150.94318181818,2015.1488816738802,2135.116940463395,1928.1042674385144,2410.042628059086,1928.1042674385144,1928.1042674385144,2150.94318181818
2010-10-01,2373.5619047619,2190.660425685424,2160.3433870723406,1911.2590667253785,2424.8819534559107,1911.2590667253785,1911.2590667253785,2373.5619047619
2010-11-01,2283.29545454545,2269.2668470418434,2167.5723733638265,1903.7227662203284,2436.092938304396,1903.7227662203284,1903.7227662203284,2283.29545454545
2010-12-01,2287.32142857143,2314.7262626262604,2160.3459844749373,1901.1873275078065,2443.892878780586,1901.1873275078065,1901.1873275078065,2287.32142857143
2011-01-01,2375.8125,2315.47646103896,2157.1084844749375,1901.504088871443,2448.627253780586,1901.504088871443,1901.504088871443,2375.8125
2011-02-01,2473.45,2378.86130952381,2183.329317808271,1901.9200280248822,2452.856003780586,1901.9200280248822,1901.9200280248822,2452.856003780586
2011-03-01,2341.47826086957,2396.9135869565234,2188.680585924213,1897.2059738677501,2451.41988059218,1897.2059738677501,1897.2059738677501,2341.47826086957
2011-04-01,2371.47777777778,2395.4686795491166,2189.012067405695,1899.7883742605673,2439.8055287403286,1899.7883742605673,1899.7883742605673,2371.47777777778
2011-05-01,2159.6,2290.8520128824503,2204.829611265344,1899.2682353716784,2416.721481121281,1899.2682353716784,1899.2682353716784,2159.6
2011-06-01,2234.46590909091,2255.18122895623,2245.4924900532233,1908.3874603596535,2400.6693977879477,1908.3874603596535,1908.3874603596535,2234.46590909091
2011-07-01,2397.75476190476,2263.9402236652236,2291.386447484681,1923.4238245188437,2385.286342232392,1923.4238245188437,1923.4238245188437,2385.286342232392
2011-08-01,2199.23863636364,2277.1531024531037,2304.0333179753015,1936.3290644178333,2366.274221020271,1936.3290644178333,1936.3290644178333,2199.23863636364
2011-09-01,2075.22045454545,2224.0712842712837,2297.723090702574,1945.5151123976316,2344.29356986587,1945.5151123976316,1945.5151123976316,2075.22045454545
2011-10-01,1871.41666666667,2048.6252525252535,2255.8776541946386,1961.3043434765366,2311.657143098193,1871.41666666667,1871.41666666667,1871.41666666667
2011-11-01,1935.31818181818,1960.6517676767671,2226.8795481340326,1982.580890193708,2270.9355521891025,1935.31818181818,1935.31818181818,1935.31818181818
2011-12-01,1911.15,1905.961616161617,2195.531929086413,2004.7543690296868,2229.763929382085,1911.15,1911.15,1911.15
2012-01-01,1989.22619047619,1945.2314574314569,2163.3164032927625,2026.607212945031,2199.836638617294,1989.22619047619,1989.22619047619,1989.22619047619
2012-02-01,2057.78571428571,1986.0539682539668,2128.677712816572,2052.712302230745,2178.7768171887224,2052.712302230745,2052.712302230745,2057.78571428571
2012-03-01,2035.925,2027.6456349206337,2103.214941077441,2075.2874916246847,2158.439203552359,2035.925,2035.925,2035.925
2012-04-01,2002.68421052632,2032.1316416040102,2072.482143806486,2092.358233583749,2132.3696860084992,2002.68421052632,2002.68421052632,2002.68421052632
2012-05-01,1928.01136363636,1988.8735247208936,2053.183090776183,2104.45525976663,2100.377811910375,1928.01136363636,1928.01136363636,1928.01136363636
2012-06-01,1855.93421052632,1928.8765948963337,2021.6387825624668,2112.765300968119,2070.832469387401,1855.93421052632,1855.93421052632,1855.93421052632
2012-07-01,1847.75,1877.231858054227,1975.805052403737,2120.1789483111143,2042.52337847831,1847.75,1847.75,1847.75
2012-08-01,1816.31818181818,1840.0007974481668,1943.8950145249485,2120.1318839171745,2018.7258405995224,1816.31818181818,1816.31818181818,1816.31818181818
2012-09-01,2009.85,1891.30606060606,1938.4474766461608,2123.762502604043,2004.0966739328555,2004.0966739328555,2009.85,2004.0966739328555
2012-10-01,1903.95869565217,1910.042292490117,1941.1593123949524,2119.1267845539774,1986.1628333531453,1903.95869565217,1903.95869565217,1903.95869565217
2012-11-01,1912.39772727273,1942.0688076416336,1939.2492745161646,2111.233732004675,1975.4594242622366,1912.39772727273,1912.39772727273,1912.39772727273
2012-12-01,2040.42894736842,1952.2617900977737,1950.0225201302,2101.966811230517,1969.8232863480066,1969.8232863480066,2040.42894736842,1969.8232863480066
2013-01-01,2031.40909090909,1994.7452551834137,1953.5377618329414,2091.320883200214,1964.2732863480064,1964.2732863480064,2031.40909090909,1964.2732863480064
2013-02-01,2128.6875,2066.8418460925036,1959.446243975799,2090.4844248668805,1958.7768081734034,1958.7768081734034,2090.4844248668805,1958.7768081734034
2013-03-01,1929.15,2029.748863636364,1950.5483273091324,2080.8146181035954,1949.0762379979647,1929.15,1929.15,1929.15
2013-04-01,1855.6,1971.1458333333337,1938.2913097652724,2066.595173659151,1942.027715270692,1855.6,1855.6,1855.6
2013-05-01,1831.0119047619,1871.9206349206336,1930.208021525734,2062.7402411890866,1936.2391636833902,1831.0119047619,1831.0119047619,1831.0119047619
2013-06-01,1839.0125,1841.8748015873005,1928.7978789818742,2065.3097171991885,1935.1198085246604,1839.0125,1839.0125,1839.0125
2013-07-01,1837.61956521739,1835.8813233264302,1927.9536760833232,2065.04839199058,1934.8060404087182,1837.61956521739,1837.61956521739,1837.61956521739
2013-08-01,1896.39285714286,1857.6749741200838,1934.6265656937132,2060.851632731321,1937.5017546944325,1896.39285714286,1896.39285714286,1896.39285714286
2013-09-01,1846.88095238095,1860.2977915804004,1921.0458117254593,2052.405459691398,1939.2077251129028,1846.88095238095,1846.88095238095,1846.88095238095
2013-10-01,1884.83695652174,1876.0369220151836,1919.45233346459,2038.8297666847272,1948.9049352578304,1884.83695652174,1884.83695652174,1884.83695652174
2013-11-01,1866.41666666667,1866.0448585231204,1915.620578414085,2027.249800354761,1960.522504702275,1866.41666666667,1866.41666666667,1866.41666666667
2013-12-01,1974.975,1908.742874396137,1910.1660828000502,2018.573510672221,1974.890342003862,1974.890342003862,1974.975,1974.890342003862
2014-01-01,2036.93181818182,1959.4411616161635,1910.6263100727776,2009.1601583994936,1988.7971421481625,1988.7971421481625,2009.1601583994936,1988.7971421481625
2014-02-01,2034.525,2015.4772727272739,1902.7794350727775,1996.9677972883826,2004.0725171481622,1996.9677972883826,1996.9677972883826,2004.0725171481622
2014-03-01,2007.90476190476,2026.4538600288604,1909.342331898174,1987.7018667615823,2017.1506268162718,1987.7018667615823,1987.7018667615823,2007.90476190476
2014-04-01,2027.2125,2023.214087301587,1923.6433735648409,1978.1389423788667,2027.8018768162722,1978.1389423788667,1978.1389423788667,2027.2125
2014-05-01,2058.975,2031.3640873015872,1942.6402981680158,1975.3438034899773,2037.242819798728,1975.3438034899773,1975.3438034899773,2037.242819798728
2014-06-01,2128.09523809524,2071.42757936508,1966.730526342619,1972.3890626289863,2046.76486164577,1972.3890626289863,1972.3890626289863,2046.76486164577
2014-07-01,2310.61956521739,2165.8966011042103,2006.147193009286,1969.9686404987817,2058.92754280519,1969.9686404987817,1969.9686404987817,2058.92754280519
2014-08-01,2326.9875,2255.2341011042104,2042.0300799140475,1973.5172200442366,2067.410459471857,1973.5172200442366,1973.5172200442366,2067.410459471857
2014-09-01,2294.59090909091,2310.732658102767,2079.3392429732107,1979.6108437816101,2074.33451250216,1979.6108437816101,1979.6108437816101,2074.33451250216
2014-10-01,2276.82608695652,2299.468165349144,2112.0050038427757,1990.8722165674392,2077.7675381938598,1990.8722165674392,1990.8722165674392,2077.7675381938598
2014-11-01,2253.225,2274.880665349144,2144.2390316205533,1999.7029615169345,2078.7121612097326,1999.7029615169345,1999.7029615169345,2078.7121612097326
2014-12-01,2175.7619047619,2235.2709972394737,2160.971273684045,2007.0532922047653,2075.407558035129,2007.0532922047653,2007.0532922047653,2075.407558035129
2015-01-01,2113.04761904762,2180.678174603174,2167.3142570895284,2010.4927763317492,2070.3806433525897,2010.4927763317492,2010.4927763317492,2070.3806433525897
2015-02-01,2097.7625,2128.85734126984,2172.584048756195,2011.6032426015906,2069.363351685923,2011.6032426015906,2011.6032426015906,2069.363351685923
2015-03-01,2028.72727272727,2079.845797258297,2174.3192579914044,2011.4033057329034,2065.2210888400728,2011.4033057329034,2011.4033057329034,2028.72727272727
2015-04-01,2212.725,2113.07159090909,2189.7786329914043,2017.2377721071725,2062.6415055067396,2017.2377721071725,2017.2377721071725,2062.6415055067396
2015-05-01,2281.80263157895,2174.418301435407,2208.3476022896502,2027.0653073278,2067.8417248049855,2027.0653073278,2027.0653073278,2067.8417248049855
2015-06-01,2082.09090909091,2192.206180223287,2204.513908205956,2033.347437843483,2073.4347172292278,2033.347437843483,2033.347437843483,2073.4347172292278
2015-07-01,2000.6847826087,2121.52610775952,2178.6860096552314,2037.5956262492805,2075.9956757272516,2000.6847826087,2000.6847826087,2000.6847826087
2015-08-01,1807.6375,1963.4710638998704,2135.406842988565,2037.3544961987755,2071.998364219315,1807.6375,1807.6375,1807.6375
2015-09-01,1720.22727272727,1842.8498517786568,2087.5432066249286,2029.3094204411993,2064.8197657344667,1720.22727272727,1720.22727272727,1720.22727272727
2015-10-01,1724.34090909091,1750.735227272727,2041.5027751361276,2024.3200374811645,2053.999415806617,1724.34090909091,1724.34090909091,1724.34090909091
2015-11-01,1583.30952380952,1675.9592352092338,1985.6764854535875,2015.1786984960754,2042.3329836276848,1583.30952380952,1583.30952380952,1583.30952380952
2015-12-01,1527.78571428571,1611.812049062047,1931.6784695805716,2000.9386086882223,2029.674055056256,1527.78571428571,1527.78571428571,1527.78571428571
2016-01-01,1520.3625,1543.8192460317434,1882.28804299327,1986.7428700518585,2015.416555056256,1520.3625,1520.3625,1520.3625
2016-02-01,1709.84523809524,1585.9978174603168,1849.9616045012065,1975.1083627767266,2002.68980902451,1709.84523809524,1709.84523809524,1709.84523809524
2016-03-01,1801.69047619048,1677.2994047619068,1831.0418714564742,1971.5678204486842,1993.6933459465251,1801.69047619048,1801.69047619048,1801.69047619048
2016-04-01,1855.37380952381,1788.9698412698435,1801.2626055834583,1971.561537379901,1985.0916131422923,1855.37380952381,1855.37380952381,1855.37380952381
2016-05-01,1869.025,1842.029761904764,1766.8644696185456,1972.6174566920708,1980.2486964756256,1869.025,1869.025,1869.025
2016-06-01,2026.19318181818,1916.8639971139971,1762.2063256791516,1977.8169200759087,1976.7774843544134,1976.7774843544134,1977.8169200759087,1976.7774843544134
2016-07-01,2183.25,2026.1560606060605,1777.4200937950934,1987.417765486537,1973.2024049893341,1973.2024049893341,1987.417765486537,1973.2024049893341
2016-08-01,2279.13636363636,2162.859848484847,1816.71166576479,1998.0495295558005,1974.534033777213,1974.534033777213,1998.0495295558005,1974.534033777213
2016-09-01,2292.30681818182,2251.5643939393935,1864.3849612193355,2010.4224702724916,1978.1521398378188,1978.1521398378188,2010.4224702724916,1978.1521398378188
2016-10-01,2311.5,2294.3143939393935,1913.31488546176,2022.274221480221,1985.4868620600412,1985.4868620600412,2022.274221480221,1985.4868620600412
2016-11-01,2566.20454545455,2390.0037878787903,1995.2228039321792,2041.7127736687735,1996.001634787314,1996.001634787314,2041.7127736687735,1996.001634787314
2016-12-01,2664.8125,2514.1723484848503,2089.9750360750368,2060.8749264465514,2008.5626764539809,2008.5626764539809,2060.8749264465514,2008.5626764539809
2017-01-01,2714.79761904762,2648.6048881673905,2189.511295995672,2079.704532026157,2020.6555335968378,2020.6555335968378,2079.704532026157,2020.6555335968378
2017-02-01,2845.55,2741.7200396825406,2284.153359487735,2102.233004248379,2033.7849383587425,2033.7849383587425,2102.233004248379,2033.7849383587425
2017-03-01,2776.88043478261,2779.0760179434105,2365.4191893704124,2123.593439606097,2046.1341956051194,2046.1341956051194,2123.593439606097,2046.1341956051194
2017-04-01,2614.91666666667,2745.782367149761,2428.7144274656507,2139.918555346838,2056.3380698741253,2056.3380698741253,2139.918555346838,2056.3380698741253
2017-05-01,2590.21428571429,2660.6704623878572,2488.8135346085087,2154.675202172235,2067.374785242091,2067.374785242091,2154.675202172235,2067.374785242091
2017-06-01,2573.39772727273,2592.842893217897,2534.4139133963877,2167.0447157604985,2079.3325105211975,2079.3325105211975,2167.0447157604985,2079.3325105211975
2017-07-01,2787.19047619048,2650.2674963925006,2584.742286412261,2180.2827966208624,2094.989851791039,2094.989851791039,2180.2827966208624,2094.989851791039
2017-08-01,2980.72727272727,2780.4384920634934,2643.20819550317,2198.442234752175,2114.396669972857,2114.396669972857,2198.442234752175,2114.396669972857
2017-09-01,3116.85714285714,2961.5916305916303,2711.920722559447,2221.2829634679038,2132.846789020476,2132.846789020476,2221.2829634679038,2132.846789020476
2017-10-01,3264.60227272727,3120.728896103894,2791.345911953386,2248.721190850424,2155.524181971728,2155.524181971728,2248.721190850424,2155.524181971728
2017-11-01,3229.30681818182,3203.5887445887433,2846.604434680658,2275.8345746888085,2177.4726668202125,2177.4726668202125,2275.8345746888085,2177.4726668202125
2017-12-01,3195.94736842105,3229.952153110047,2890.8656737157457,2304.173059790451,2196.7313071710896,2196.7313071710896,2304.173059790451,2196.7313071710896
2018-01-01,3441.52272727273,3288.9256379585336,2951.4260994011715,2341.0751461300374,2220.2332011104836,2220.2332011104836,2341.0751461300374,2220.2332011104836
2018-02-01,3532.9,3390.1233652312603,3008.7052660678382,2380.9400766855933,2243.63674277715,2243.63674277715,2380.9400766855933,2243.63674277715
2018-03-01,3269.17857142857,3414.5337662337674,3049.7301107883354,2415.397057205074,2265.97055230096,2265.97055230096,2415.397057205074,2265.97055230096
2018-04-01,3188.05,3330.042857142858,3097.4912218994455,2442.489418316185,2288.1780523009597,2288.1780523009597,2442.489418316185,2288.1780523009597
2018-05-01,3059.86904761905,3172.3658730158736,3136.6291187248426,2464.102374317299,2308.6590046819124,2308.6590046819124,2464.102374317299,2308.6590046819124
2018-06-01,3088.57142857143,3112.1634920634933,3179.5602604997343,2492.060166525091,2329.4849868247697,2329.4849868247697,2492.060166525091,2329.4849868247697
2018-07-01,2656.125,2934.8551587301604,3168.6381374838606,2510.266839230405,2343.1267440711467,2343.1267440711467,2510.266839230405,2343.1267440711467
2018-08-01,2512.0,2752.2321428571436,3129.5775314232546,2529.832464230405,2353.3868631187656,2353.3868631187656,2512.0,2353.3868631187656
2018-09-01,2434.675,2534.2666666666673,3072.7290195184937,2549.6782344324256,2363.183430579083,2363.183430579083,2434.675,2363.183430579083
2018-10-01,2673.67391304348,2540.116304347827,3023.484989544844,2576.04859565333,2376.330713187779,2376.330713187779,2576.04859565333,2376.330713187779
2018-11-01,2595.69318181818,2568.014031620554,2970.6838531812077,2604.170363931348,2388.485321773637,2388.485321773637,2595.69318181818,2388.485321773637
2018-12-01,2616.28947368421,2628.5521895152906,2922.379028619804,2634.406579470195,2399.173896335041,2399.173896335041,2616.28947368421,2399.173896335041
2019-01-01,2569.70454545455,2593.895733652314,2849.7275134682895,2663.5549696217113,2408.0534417895856,2408.0534417895856,2569.70454545455,2408.0534417895856
2019-02-01,2707.1875,2631.060506379587,2780.918138468289,2691.2589213412875,2419.2644834562525,2419.2644834562525,2691.2589213412875,2419.2644834562525
2019-03-01,2850.59523809524,2709.1624278499307,2746.036194023845,2720.3951647275308,2433.309324726094,2433.309324726094,2720.3951647275308,2433.309324726094
2019-04-01,2932.65,2830.144246031747,2724.752860690512,2750.3195033518696,2448.3999497260943,2448.3999497260943,2750.3195033518696,2448.3999497260943
2019-05-01,2742.80952380952,2842.0182539682537,2698.331233706384,2774.5912956799116,2459.797191789586,2459.797191789586,2742.80952380952,2459.797191789586
2019-06-01,2601.225,2758.8948412698405,2657.719031325432,2790.564401740518,2467.682687821332,2467.682687821332,2601.225,2467.682687821332
2019-07-01,2446.51086956522,2596.8484644582472,2640.2511871225333,2797.877203672885,2469.947542893796,2446.51086956522,2446.51086956522,2446.51086956522
2019-08-01,2273.0119047619,2440.2492581090405,2620.3355125193584,2797.7070798152613,2469.0479496398275,2273.0119047619,2273.0119047619,2273.0119047619
2019-09-01,2331.55952380952,2350.3607660455473,2611.7425561701516,2798.797432749364,2469.6640932184705,2331.55952380952,2331.55952380952,2331.55952380952
2019-10-01,2451.65217391304,2352.074534161487,2593.2407445759486,2802.690548691393,2472.5778613344132,2451.65217391304,2451.65217391304,2451.65217391304
2019-11-01,2425.47619047619,2402.8959627329173,2579.0559952974495,2798.7814277197713,2475.448714509016,2425.47619047619,2425.47619047619,2425.47619047619
2019-12-01,2272.5375,2383.2219547964105,2550.4099974904316,2787.884899941994,2477.061641096318,2272.5375,2272.5375,2272.5375
2020-01-01,2354.30681818182,2350.773502886004,2532.4601868843706,2777.8712665846106,2481.082627748555,2354.30681818182,2354.30681818182,2354.30681818182
2020-02-01,2113.2375,2246.6939393939406,2482.964353551037,2757.529252695722,2481.3405444152213,2113.2375,2113.2375,2113.2375
2020-03-01,1903.625,2123.723106060607,2404.050167043101,2733.2721572850933,2479.2555065364336,1903.625,1903.625,1903.625
2020-04-01,1903.367,1973.4098333333338,2318.2765837097672,2713.506888766575,2474.0995398697664,1903.367,1903.367,1903.367
2020-05-01,1975.32263157895,1927.4382105263169,2254.319342690553,2696.4265650405932,2468.9915398697663,1975.32263157895,1975.32263157895,1975.32263157895
2020-06-01,2025.71454545455,1968.1347256778338,2206.3601381450994,2681.2131433234217,2468.0519338091613,2025.71454545455,2025.71454545455,2025.71454545455
2020-07-01,2177.19565217391,2059.410943069137,2183.91720336249,2664.2688426562945,2470.9937816352476,2177.19565217391,2177.19565217391,2177.19565217391
2020-08-01,2413.91380952381,2205.60800238409,2195.659028759316,2648.5240242339764,2481.098386793978,2413.91380952381,2413.91380952381,2413.91380952381
2020-09-01,2442.45909090909,2344.522850868937,2204.9006593509466,2629.790745013197,2493.1355837636747,2442.45909090909,2442.45909090909,2442.45909090909
2020-10-01,2440.65227272727,2432.341724386724,2203.984000918799,2606.903245013197,2505.0741064909475,2440.65227272727,2440.65227272727,2440.65227272727
2020-11-01,2671.60476190476,2518.2387085137066,2224.4947152045133,2591.411521227723,2523.212360459201,2523.212360459201,2591.411521227723,2523.212360459201
2020-12-01,2779.85142857143,2630.7028210678204,2266.7708759187994,2579.853300676345,2544.0801223639637,2544.0801223639637,2579.853300676345,2544.0801223639637
2021-01-01,2705.345,2718.9337301587298,2296.024057736981,2559.403919363214,2563.8298306972965,2559.403919363214,2559.403919363214,2563.8298306972965
2021-02-01,2744.5025,2743.2329761904766,2348.6294744036477,2537.503988807658,2581.0741183957093,2537.503988807658,2537.503988807658,2581.0741183957093
2021-03-01,2791.93695652174,2747.2614855072466,2422.6554707804594,2524.247277282468,2597.5782264012305,2524.247277282468,2524.247277282468,2597.5782264012305
2021-04-01,2829.0125,2788.4839855072473,2499.792595780459,2514.274013393579,2613.805537909167,2514.274013393579,2514.274013393579,2613.805537909167
2021-05-01,2969.62,2863.5231521739133,2582.6507098155466,2511.767095404162,2632.148787909167,2511.767095404162,2511.767095404162,2632.148787909167
2021-06-01,2951.85227272727,2916.8282575757567,2659.8288537549397,2507.969341075157,2647.576439424319,2507.969341075157,2507.969341075157,2647.576439424319
2021-07-01,2947.51727272727,2956.329848484847,2724.0223221343867,2516.063570873137,2660.3142273031062,2516.063570873137,2516.063570873137,2660.3142273031062
2021-08-01,2987.94714285714,2962.4388961038935,2771.8584332454975,2529.2843248413906,2672.127740290119,2529.2843248413906,2529.2843248413906,2672.127740290119
2021-09-01,3036.01863636364,2990.4943506493505,2821.321728700043,2545.9883147403802,2684.5229372598164,2545.9883147403802,2545.9883147403802,2684.5229372598164
2021-10-01,3359.91238095238,3127.959386724387,2897.9267377188025,2565.050494404517,2701.9964769423555,2565.050494404517,2565.050494404517,2701.9964769423555
2021-11-01,3311.27181818182,3235.73427849928,2951.2323257418907,2584.927678747951,2714.4142648211437,2584.927678747951,2584.927678747951,2714.4142648211437
2021-12-01,3399.21428571429,3356.799494949497,3002.845897170462,2606.6755901932315,2726.654294583049,2606.6755901932315,2606.6755901932315,2726.654294583049
2022-01-01,3599.1375,3436.5412012987035,3077.3286055037956,2635.270950041716,2741.3932925989216,2635.270950041716,2635.270950041716,2741.3932925989216
2022-02-01,3620.0375,3539.463095238097,3150.289855503796,2660.6278944861606,2754.301417598922,2660.6278944861606,2660.6278944861606,2754.301417598922
2022-03-01,3962.20739130435,3727.1274637681167,3247.81239173568,2691.50600985308,2774.056866874284,2691.50600985308,2691.50600985308,2774.056866874284
2022-04-01,4371.34285714286,3984.529249482404,3376.3399214975852,2731.4697003292704,2803.3306367155537,2731.4697003292704,2731.4697003292704,2803.3306367155537
2022-05-01,3769.65181818182,4034.4006888763433,3443.009239679403,2759.9930973951678,2822.987928923346,2759.9930973951678,2759.9930973951678,2822.987928923346
