date,copper_price,copper_price_quarterly,copper_price_yearly,copper_price_3y,copper_price_5y,copper_price_price_floor,copper_price_floor_spot_3y,copper_price_floor_spot_5y
2012-11-01,7711.22727272727,7953.667460474307,7924.957024703144,8079.427274487684,7267.413851828325,7267.413851828325,7711.22727272727,7267.413851828325
2012-12-01,7966.48684210526,7913.248907842727,7958.924678211915,8106.913681477381,7289.67636401156,7289.67636401156,7966.48684210526,7289.67636401156
2013-01-01,8053.73863636364,7910.484250398724,7958.243175686664,8125.9793380430365,7305.9235231024695,7305.9235231024695,8053.73863636364,7305.9235231024695
2013-02-01,8060.925,8027.050159489633,7926.529584416822,8159.125171376371,7307.919892150088,7307.919892150088,8060.925,7307.919892150088
2013-03-01,7652.375,7922.346212121213,7858.328826841064,8164.276288526129,7294.88754565886,7294.88754565886,7652.375,7294.88754565886
2013-04-01,7221.1619047619,7644.820634920633,7769.631792588767,8150.146410880627,7270.003880435195,7221.1619047619,7221.1619047619,7221.1619047619
2013-05-01,7248.71428571429,7374.083730158731,7715.615558822534,8161.411866185556,7251.547035197101,7248.71428571429,7248.71428571429,7248.71428571429
2013-06-01,7000.2375,7156.704563492064,7679.944561015515,8175.26568563,7230.017660197101,7000.2375,7000.2375,7000.2375
2013-07-01,6906.64130434783,7051.8643633540405,7623.476222741472,8179.601050144713,7205.011319617391,6906.64130434783,6906.64130434783,6906.64130434783
2013-08-01,7186.25,7031.04293478261,7596.46107122632,8176.367253848416,7197.552152950724,7186.25,7186.25,7186.25
2013-09-01,7159.26904761905,7084.053450655626,7519.088283527907,8160.524979918642,7200.62140980498,7159.26904761905,7159.26904761905,7159.26904761905
2013-10-01,7203.02173913043,7182.846928916493,7447.504044397472,8130.337753095546,7239.09025038469,7203.02173913043,7203.02173913043,7203.02173913043
2013-11-01,7070.65476190476,7144.315182884747,7394.123001828931,8091.788706077749,7294.781371416437,7070.65476190476,7070.65476190476,7070.65476190476
2013-12-01,7214.9,7162.858833678397,7331.4907649868255,8037.956563220605,7363.278117448182,7214.9,7214.9,7214.9
2014-01-01,7291.46590909091,7192.340223665223,7267.968037714098,7975.686171806465,7430.463263552079,7291.46590909091,7291.46590909091,7291.46590909091
2014-02-01,7149.2125,7218.5261363636355,7191.99199604743,7899.804921806465,7494.143263552078,7149.2125,7149.2125,7149.2125
2014-03-01,6650.03571428571,7030.23804112554,7108.463722237906,7820.54595010184,7542.12927545684,6650.03571428571,6650.03571428571,6650.03571428571
2014-04-01,6673.5625,6824.270238095237,7062.830438507747,7742.512963990729,7579.406567123507,6673.5625,6673.5625,6673.5625
2014-05-01,6891.125,6738.24107142857,7033.03133136489,7685.8310195462855,7617.734308351577,6891.125,6891.125,6891.125
2014-06-01,6821.14285714286,6795.276785714286,7018.106777793463,7623.450202446718,7647.829492334261,6821.14285714286,6821.14285714286,6821.14285714286
2014-07-01,7113.38043478261,6941.882763975157,7035.335038663027,7552.97565103195,7679.245615522666,7113.38043478261,7113.38043478261,7113.38043478261
2014-08-01,7001.8375,6978.786930641822,7019.967330329694,7497.527008355181,7692.994990522667,7001.8375,7001.8375,7001.8375
2014-09-01,6872.21590909091,6995.811281291174,6996.046235452349,7457.862551284476,7704.269422340848,6872.21590909091,6872.21590909091,6872.21590909091
2014-10-01,6737.47826086957,6870.510556653492,6957.250945597277,7439.620545303339,7711.460916082614,6737.47826086957,6737.47826086957,6737.47826086957
2014-11-01,6712.85,6774.1813899868275,6927.433882105214,7415.50463621243,7711.96774147944,6712.85,6712.85,6712.85
2014-12-01,6446.45238095238,6632.260213940649,6863.396580517913,7384.604007905551,7703.125677987377,6446.45238095238,6446.45238095238,6446.45238095238
2015-01-01,5830.53571428571,6329.94603174603,6741.652397617479,7322.6212036727475,7677.511689892139,5830.53571428571,5830.53571428571,5830.53571428571
2015-02-01,5729.275,6002.087698412696,6623.324272617479,7247.281951027244,7658.538356558804,5729.275,5729.275,5729.275
2015-03-01,5939.67045454545,5833.160389610387,6564.127167639125,7176.973238906032,7633.083951091084,5939.67045454545,5939.67045454545,5939.67045454545
2015-04-01,6042.0875,5903.6776515151505,6511.504250972458,7114.655494022991,7604.954784424417,6042.0875,6042.0875,6042.0875
2015-05-01,6294.77631578947,6092.17809011164,6461.808527288246,7070.151805825224,7595.815091441961,6294.77631578947,6294.77631578947,6294.77631578947
2015-06-01,5833.01136363636,6056.625059808611,6379.464236162705,7025.838524990561,7584.673614169234,5833.01136363636,5833.01136363636,5833.01136363636
2015-07-01,5456.75,5861.51255980861,6241.411699930821,6966.740987111773,7563.109977805597,5456.75,5456.75,5456.75
2015-08-01,5127.3,5472.3537878787865,6085.2002415974885,6900.542881051168,7526.853866694485,5127.3,5127.3,5127.3
2015-09-01,5217.25,5267.099999999999,5947.2864158399125,6820.806978273389,7484.981518209637,5217.25,5217.25,5217.25
2015-10-01,5216.09090909091,5186.880303030303,5820.504136525023,6741.753042173257,7433.753668281788,5216.09090909091,5216.09090909091,5216.09090909091
2015-11-01,4799.90476190476,5077.7485569985565,5661.092033350421,6660.882972428188,7372.778406737776,4799.90476190476,4799.90476190476,4799.90476190476
2015-12-01,4638.83333333333,4884.943001443,5510.4571127154995,6568.448152740079,7297.544676579046,4638.83333333333,4638.83333333333,4638.83333333333
2016-01-01,4471.7875,4636.841865079364,5397.228094858357,6468.94951006331,7213.187801579046,4471.7875,4471.7875,4471.7875
2016-02-01,4598.61904761905,4569.746626984127,5303.006765493277,6372.774344719396,7125.149160706031,4598.61904761905,4598.61904761905,4598.61904761905
2016-03-01,4953.79761904762,4674.734722222223,5220.850695868458,6297.813861915163,7049.3231427626215,4953.79761904762,4953.79761904762,4953.79761904762
2016-04-01,4872.7380952381,4808.384920634923,5123.4049121383005,6232.579867206168,6972.48961101659,4872.7380952381,4872.7380952381,4872.7380952381
2016-05-01,4694.5375,4840.35773809524,4990.051677489178,6161.630512047438,6901.870652683256,4694.5375,4694.5375,4694.5375
2016-06-01,4641.96590909091,4736.413834776337,4890.7978896103905,6096.122967855519,6828.12254662265,4641.96590909091,4641.96590909091,4641.96590909091
2016-07-01,4864.90476190476,4733.802723665223,4841.477453102453,6039.408063898767,6748.363221225824,4864.90476190476,4864.90476190476,4864.90476190476
2016-08-01,4751.67045454545,4752.84704184704,4810.1749909812415,5971.780854302808,6677.591251528855,4751.67045454545,4751.67045454545,4751.67045454545
2016-09-01,4722.20454545455,4779.5932539682535,4768.921203102454,5904.084618131571,6617.959054559158,4722.20454545455,4722.20454545455,4722.20454545455
2016-10-01,4731.2619047619,4735.045634920633,4728.518786075036,5835.424622732446,6573.5769117020145,4731.2619047619,4731.2619047619,4731.2619047619
2016-11-01,5450.93181818182,4968.132756132756,4782.771040764791,5790.432318740141,6538.0753965505,5450.93181818182,5450.93181818182,5450.93181818182
2016-12-01,5660.35,5280.847907647906,4867.897429653681,5747.250374295697,6506.433313217166,5660.35,5660.35,5660.35
2017-01-01,5754.55952380952,5621.947113997114,4974.795098304473,5704.558530260103,6467.977360836214,5704.558530260103,5704.558530260103,5754.55952380952
2017-02-01,5940.9125,5785.274007936507,5086.652886002886,5670.994641371214,6426.301100915579,5670.994641371214,5670.994641371214,5940.9125
2017-03-01,5824.63043478261,5840.034152864045,5159.222287314135,5648.066716940572,6382.198539980138,5648.066716940572,5648.066716940572,5824.63043478261
2017-04-01,5683.90277777778,5816.481904186797,5226.819344192441,5620.576169101067,6338.838147679942,5620.576169101067,5620.576169101067,5683.90277777778
2017-05-01,5599.55952380952,5702.697578789969,5302.237846176568,5584.699350317997,6300.548988228283,5584.699350317997,5584.699350317997,5599.55952380952
2017-06-01,5719.76136363636,5667.74122174122,5392.054134055356,5554.105419942816,6272.073519727486,5554.105419942816,5554.105419942816,5719.76136363636
2017-07-01,5985.11904761905,5768.146645021643,5485.405324531547,5522.764825854941,6245.421147793863,5522.764825854941,5522.764825854941,5985.11904761905
2017-08-01,6485.625,6063.501803751803,5629.901536652759,5508.425589743829,6228.341034157501,5508.425589743829,5508.425589743829,6228.341034157501
2017-09-01,6577.16666666667,6349.303571428573,5784.481713420436,5500.229777454268,6203.164770268611,5500.229777454268,5500.229777454268,6203.164770268611
2017-10-01,6807.60227272727,6623.464646464647,5957.510077417551,5502.177666672536,6182.257598002472,5502.177666672536,5502.177666672536,6182.257598002472
2017-11-01,6826.54545454545,6737.104797979798,6072.144547114519,5505.335873743244,6167.512901032775,5505.335873743244,5505.335873743244,6167.512901032775
2017-12-01,6833.8947368421,6822.680821371607,6169.939941851361,5516.098161406847,6148.636365945056,5516.098161406847,5516.098161406847,6148.636365945056
2018-01-01,7065.85227272727,6908.76415470494,6279.214337594506,5550.412510252445,6132.171593217782,5550.412510252445,5550.412510252445,6132.171593217782
2018-02-01,7006.525,6968.757336523123,6368.015379261174,5585.891676919112,6114.59825988445,5585.891676919112,5585.891676919112,6114.59825988445
2018-03-01,6799.17857142857,6957.185281385279,6449.227723981669,5609.766902388088,6100.37831940826,5609.766902388088,5609.766902388088,6100.37831940826
2018-04-01,6851.5125,6885.738690476191,6546.528534166854,5632.2509301658665,6094.217495995561,5632.2509301658665,5632.2509301658665,6094.217495995561
2018-05-01,6825.27380952381,6825.321626984126,6648.671391309713,5646.986971658485,6087.160154725719,5646.986971658485,5646.986971658485,6087.160154725719
2018-06-01,6965.85714285714,6880.881150793651,6752.512706244776,5678.454909970174,6086.587148773338,5678.454909970174,5678.454909970174,6086.587148773338
2018-07-01,6250.75,6680.626984126983,6774.648618943189,5700.51046552573,6075.655627034208,5700.51046552573,5700.51046552573,6075.655627034208
2018-08-01,6051.04545454545,6422.550865800865,6738.433656821977,5726.170061485326,6056.735551276632,5726.170061485326,5726.170061485326,6051.04545454545
2018-09-01,6050.7625,6117.519318181817,6694.566642933089,5749.323186485326,6038.260442149648,5749.323186485326,5749.323186485326,6038.260442149648
2018-10-01,6219.58695652174,6107.131637022397,6645.565366582628,5777.198076691738,6021.869862439503,5777.198076691738,5777.198076691738,6021.869862439503
2018-11-01,6195.92045454545,6155.423303689063,6593.0132832492955,5815.976290376201,6007.290957316847,5815.976290376201,5815.976290376201,6007.290957316847
2018-12-01,6075.31578947368,6163.607733513622,6529.798370968593,5855.878580824544,5988.297887141409,5855.878580824544,5855.878580824544,5988.297887141409
2019-01-01,5939.10227272727,6070.112838915466,6435.902537635259,5896.637324511414,5965.7584932020145,5896.637324511414,5896.637324511414,5939.10227272727
2019-02-01,6300.4875,6104.968520733651,6377.066079301926,5943.911448188662,5951.613076535348,5943.911448188662,5943.911448188662,5951.613076535348
2019-03-01,6439.46428571429,6226.351352813854,6347.089888825736,5985.17996670718,5948.103552725825,5948.103552725825,5985.17996670718,5948.103552725825
2019-04-01,6438.3625,6392.771428571429,6312.66072215907,6028.669533506121,5944.1835527258245,5944.1835527258245,6028.669533506121,5944.1835527258245
2019-05-01,6017.90476190476,6298.577182539683,6245.379968190814,6065.429735225699,5929.629882090903,5929.629882090903,6017.90476190476,5929.629882090903
2019-06-01,5882.225,6112.830753968254,6155.077289619386,6099.881376639841,5913.9812511385235,5882.225,5882.225,5882.225
2019-07-01,5941.19565217391,5947.1084713595565,6129.281093967212,6129.778345813984,5894.444838095045,5894.444838095045,5941.19565217391,5894.444838095045
2019-08-01,5709.44047619048,5844.287042788131,6100.814012437632,6156.383068637456,5872.904887698219,5709.44047619048,5709.44047619048,5709.44047619048
2019-09-01,5759.25,5803.295376121463,6076.521304104299,6185.189886819275,5854.355455880038,5759.25,5759.25,5759.25
2019-10-01,5757.29782608696,5741.996100759147,6037.9972099014,6213.690884633859,5838.019115300327,5757.29782608696,5757.29782608696,5757.29782608696
2019-11-01,5859.95238095238,5792.16673567978,6009.99987043531,6225.052566933042,5823.804154982867,5823.804154982867,5859.95238095238,5823.804154982867
2019-12-01,6077.0625,5898.10423567978,6010.145429645837,6236.627914155264,5817.647656966994,5817.647656966994,6077.0625,5817.647656966994
2020-01-01,6031.20909090909,5989.40799062049,6017.820997827656,6244.312624352474,5820.992213244051,5820.992213244051,6031.20909090909,5820.992213244051
2020-02-01,5687.75,5932.007196969697,5966.759539494323,6237.2803326858075,5820.300129910717,5687.75,5687.75,5687.75
2020-03-01,5182.63181818182,5633.863636363637,5862.023500533283,6219.44703778023,5807.682819304656,5182.63181818182,5182.63181818182,5182.63181818182
2020-04-01,5057.972,5309.451272727273,5746.990958866617,6202.060071730847,5791.280894304657,5057.972,5057.972,5057.972
2020-05-01,5239.82631578947,5160.143377990429,5682.151088357009,6192.067482619179,5773.698394304656,5239.82631578947,5239.82631578947,5239.82631578947
2020-06-01,5754.59545454546,5350.797923444977,5671.515292902463,6193.035096255543,5772.391462486475,5754.59545454546,5754.59545454546,5754.59545454546
2020-07-01,6372.46086956522,5788.960879966716,5707.454061018406,6203.794591309603,5787.653310312561,5787.653310312561,6203.794591309603,5787.653310312561
2020-08-01,6508.39285714286,6211.816393751181,5774.033426097772,6204.427031785794,5810.671524598277,5810.671524598277,6204.427031785794,5810.671524598277
2020-09-01,6704.9,6528.584575569359,5852.837592764437,6207.975179933941,5835.4656912649425,5835.4656912649425,6207.975179933941,5835.4656912649425
2020-10-01,6713.81136363636,6642.368073593073,5932.547054226889,6205.369876903638,5860.427698840701,5860.427698840701,6205.369876903638,5860.427698840701
2020-11-01,7068.90714285714,6829.206168831166,6033.293284385618,6212.102146023408,5898.244405189907,5898.244405189907,6212.102146023408,5898.244405189907
2020-12-01,7772.2380952381,7184.985533910533,6174.557917322127,6238.167239312185,5950.467817888319,5950.467817888319,6238.167239312185,5950.467817888319
2021-01-01,7972.1475,7604.430912698413,6336.302784746368,6263.342106736429,6008.807151221653,6008.807151221653,6263.342106736429,6008.807151221653
2021-02-01,8470.94,8071.7751984127,6568.235284746369,6304.0203011808735,6073.345833761336,6073.345833761336,6304.0203011808735,6073.345833761336
2021-03-01,8988.24782608696,8477.11177536232,6885.369952071797,6364.827780476939,6140.586670545324,6140.586670545324,6364.827780476939,6140.586670545324
2021-04-01,9324.8175,8928.00177536232,7240.940410405131,6433.530697143605,6214.787993958022,6214.787993958022,6433.530697143605,6214.787993958022
2021-05-01,10166.285,9493.11677536232,7651.4786340893415,6526.336563545722,6305.9837856246895,6305.9837856246895,6526.336563545722,6305.9837856246895
2021-06-01,9631.5,9707.534166666666,7974.55401287722,6600.382198466356,6389.142687139842,6389.142687139842,6600.382198466356,6389.142687139842
2021-07-01,9450.82045454546,9749.535151515154,8231.08397829224,6689.273044425953,6465.574615350519,6465.574615350519,6689.273044425953,6465.574615350519
2021-08-01,9370.13857142857,9484.15300865801,8469.56278781605,6781.470075450485,6542.5490839652375,6542.5490839652375,6781.470075450485,6542.5490839652375
2021-09-01,9324.70954545455,9381.889523809527,8687.880249937263,6872.413048935332,6619.257500631905,6619.257500631905,6872.413048935332,6619.257500631905
2021-10-01,9829.21904761905,9508.02238816739,8947.49755693582,6972.680607021369,6704.223453012857,6704.223453012857,6972.680607021369,6704.223453012857
2021-11-01,9728.90454545454,9627.611046176047,9169.164007152269,7070.8190539910665,6775.522998467402,6775.522998467402,7070.8190539910665,6775.522998467402
2021-12-01,9551.18,9703.101197691198,9317.409165882427,7167.370837616797,6840.370165134069,6840.370165134069,7167.370837616797,6840.370165134069
2022-01-01,9782.3375,9687.474015151513,9468.258332549094,7274.127371707706,6907.4997980705775,6907.4997980705775,7274.127371707706,6907.4997980705775
2022-02-01,9943.175,9758.897500000001,9590.944582549093,7375.313135596595,6974.204173070577,6974.204173070577,7375.313135596595,6974.204173070577
2022-03-01,10230.8939130435,9985.468804347833,9694.498423128805,7480.630625244629,7047.6418977082585,7047.6418977082585,7480.630625244629,7047.6418977082585
2022-04-01,10174.3476190476,10116.138844030365,9765.292599716106,7584.407989662617,7122.482645062756,7122.482645062756,7584.407989662617,7122.482645062756
