report_id,effective_date,report_type,ag_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,11.59672392549105,16.841762440305054,14.694548744369408,19.232300191082558,12.543939986705363,21.619442880131665
2016-000007764 Canamex Resources Corp-f1-02466950_1-1-1,2016-02-29,PEA,15.0,16.8487068847495,14.694548744369408,19.232300191082558,12.543939986705364,21.619442880131665
2016-000033407 Benton Resources Inc-f1-02472165_1-1-1,2016-03-07,PEA,14.0,16.855651329193947,14.714503739663927,19.21937608311256,12.574174051368477,21.58391873826575
2016-000002563 SEMAFO INC-f1-02459263_1-1-1,2016-03-23,FS,15.0,16.86259577363839,14.731363071399386,19.218179546582828,12.598679751876432,21.572312702243316
2016-000008502 Entree Gold Inc-f1-02463061_1-1-1,2016-03-29,FS,21.46,16.86259577363839,14.731363071399386,19.218179546582828,12.598679751876432,21.572312702243313
2016-000018190 Chesapeake Gold Corp-f1-02451974_1-2-1,2016-04-29,PFS,20.0,16.91773466252728,14.789318253883446,19.247157987779023,12.668525302029739,21.584204769820886
2016-000030584 Atalaya Mining plc ( EMED Mining Public Limited)-f1-02537909_1-1-1,2016-04-30,PFS,17.9,16.91773466252728,14.789318253883446,19.247157987779023,12.668525302029739,21.584204769820886
2016-000040114 Pershing Gold Corporation-f1-02553974_1-1-1,2016-06-02,PEA,17.0,17.000651329193946,14.820777391940052,19.270140900061104,12.704576294192334,21.60330331043444
2016-000026150 Silver Bear Resources Inc-f1-02504888_2-1-1,2016-06-09,FS,17.74,17.083567995860612,14.820777391940052,19.270140900061104,12.704576294192334,21.60330331043444
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,17.8,17.083567995860612,14.919425176259447,19.306344918428564,12.819804226683704,21.593643711021944
2016-000032329 Copper North Mining Corp-f1-02557849_2-1-1,2016-10-12,PEA,17.5,17.587315610076264,15.464706205559578,19.655870726139558,13.33153060397196,21.713859645131922
2017-000002178 Silver Standard Resources Inc-f1-02636395_1-1-1,2016-12-31,PFS,19.5,17.91,15.903170641248822,19.801820658394153,13.95006547397065,21.74736550826131
2017-000010750 Geologix Explorations Inc-f1-02587974_1-1-1,2017-01-19,PEA,18.0,17.91,15.903170641248822,19.801820658394153,13.95006547397065,21.74736550826131
2017-000037377 Alamos Gold Inc-f1-02606407_2-1-1,2017-02-15,FS,16.0,17.948055555555555,16.02639083512982,19.801367617123308,14.167997719642358,21.71795128362933
2017-000037377 Alamos Gold Inc-f1-02609882_3-1-1,2017-02-22,FS,16.0,17.948055555555555,16.02639083512982,19.801367617123308,14.167997719642358,21.71795128362933
2017-000020880 Rosita Mining Corporation-f1-02613443_1-1-1,2017-03-06,PEA,18.0,17.90972222222222,16.026390835129817,19.801367617123308,14.167997719642358,21.71795128362933
2017-000001691 Hudbay Minerals Inc. ( HudBay Minerals Inc.)-f1-02604944_1-1-2,2017-03-30,FS,18.0,17.864444444444445,16.127003610412363,19.75924423758992,14.37656894921979,21.64105020357491
2017-000007875 Skeena Resources Limited-f1-02630480_1-1-1,2017-04-20,PEA,17.75,17.814444444444444,16.240705400596397,19.72886224839098,14.611318208600197,21.587631904189365
2017-000023653 Alio Gold Inc-f1-02632239_2-1-1,2017-05-16,PFS,17.0,17.814444444444444,16.359908020672517,19.714334965899695,14.84543332529565,21.55428721575001
2019-000039579 BMC Minerals (No.1) Ltd-f1-02904658_4-1-1,2017-05-31,PFS,19.31,17.843888888888888,16.48765761411132,19.709821868242354,15.087506586247336,21.531835094509404
2019-000039579 BMC Minerals (No.1) Ltd-f1-02899896_1-1-1,2017-05-31,PFS,19.31,17.843888888888888,16.48765761411132,19.709821868242354,15.087506586247336,21.531835094509404
2017-000037111 Desert Star Resources Ltd-f1-02654496_1-1-1,2017-06-15,PFS,17.0,17.84388888888889,16.619145925243018,19.710018617012345,15.332798023325545,21.514543406864203
2017-000043521 VM Holding S.A-f1-02677003_1-1-5,2017-08-02,PEA,18.91,17.986666666666668,16.807071833464917,19.725428186942008,15.639514037300197,21.476226744254376
2017-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-02683877_1-1-1,2017-09-01,PEA,17.0,18.06888888888889,16.8207667884372,19.72829390416865,15.635067527491685,21.450121758954577
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,21.6,18.06888888888889,16.8207667884372,19.72829390416865,15.635067527491685,21.450121758954577
2017-000006156 Eros Resources Corp-f1-02688691_1-1-1,2017-10-09,PEA,17.5,18.123333333333335,16.77305628390705,19.72303736713828,15.57100454312274,21.4709667095852
2017-000030391 Corvus Gold Inc-f1-02688555_1-2-1,2017-10-31,PEA,16.28,18.17777777777778,16.7451347183176,19.715793245184972,15.533710794659884,21.47502784839463
2018-000037377 Alamos Gold Inc-f1-02721540_1-1-1,2017-12-01,FS,16.0,18.100972222222225,16.70800069730036,19.688018699418613,15.493856332872317,21.45389233710883
2018-000008808 Aura Minerals Inc-f1-02820570_1-1-1,2018-01-31,FS,19.62,17.70277777777778,16.599225526064703,19.611052777685412,15.394670187931869,21.418324691173293
2018-000026913 MAYA GOLD & SILVER INC-f1-02731585_1-1-1,2018-02-05,PEA,20.5,17.70277777777778,16.599225526064703,19.611052777685412,15.394670187931869,21.418324691173293
2018-000012057 Gold Reserve Inc-f1-02754631_1-1-1,2018-03-16,PEA,17.0,17.676944444444445,16.558135973584292,19.60783068576911,15.379265774329077,21.47865519869871
2018-000005277 Polymet Mining Corp-f1-02745589_1-1-1,2018-03-26,FS,18.92,17.676944444444445,16.558135973584292,19.60783068576911,15.379265774329077,21.47865519869871
2018-000007860 Torex Gold Resources Inc-f1-02819812_1-1-1,2018-03-31,PEA,17.0,17.676944444444445,16.558135973584292,19.60783068576911,15.379265774329077,21.478655198698707
2018-000001147 AbraPlata Resource Corp-f1-02757353_1-1-1,2018-04-16,PEA,20.0,17.735555555555557,16.622820017643654,19.703552751521038,15.459282010595947,21.620747478350726
2018-000034410 East Africa Metals Inc-f1-02785058_3-1-1,2018-04-30,PEA,17.0,17.783333333333335,16.622820017643654,19.70355275152104,15.459282010595947,21.620747478350726
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,17.0,17.838888888888892,16.651372563661777,19.755748979843904,15.491047596459346,21.699800428823607
2018-000040114 Pershing Gold Corporation-f1-02794736_1-1-1,2018-05-24,FS,16.75,17.83888888888889,16.70437833859382,19.871275583997292,15.546380133977769,21.880174624784704
2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,16.0,17.894444444444446,16.704378338593823,19.871275583997292,15.546380133977765,21.880174624784708
2018-000025619 Orla Mining Ltd-f1-02795220_2-1-1,2018-06-19,PEA,17.0,17.955277777777777,16.704598738057364,19.912641756003367,15.551265377349303,21.967351413241296
2018-000001604 Lumina Gold Corp-f1-02789909_2-10-1,2018-06-27,PEA,19.0,17.905,16.704598738057367,19.912641756003367,15.551265377349303,21.967351413241296
2018-000009698 Minera Alamos Inc-f1-02858872_2-1-1,2018-07-13,PEA,16.0,17.905,16.68001979596827,19.935302564818134,15.527786505516783,22.03835204321651
2018-000025296 Equinox Gold Corp. ( Trek Mining Inc.)-f1-02815392_3-1-1,2018-07-16,PFS,17.0,17.905,16.68001979596827,19.935302564818134,15.527786505516783,22.03835204321651
2018-000013198 Nevada Copper Corp-f1-02830221_1-1-1,2018-08-17,FS,17.31,17.695555555555554,16.68001979596827,19.935302564818134,15.527786505516783,22.03835204321651
