report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,5511.549999999999,4947.165557640625,4038.3560836353117,6020.229129019262,3118.3226308007524,7082.068721568652
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,4409.24,5262.841306249999,4246.7998430724565,6365.0452340485135,3245.124279937883,7481.615061889997
2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,4409.24,5262.841306249999,4246.7998430724565,6365.0452340485135,3245.1242799378824,7481.615061889997
2010-000003181 Inmet Mining Corporation-f1-01555466_1-2-1,2010-03-31,FS,4629.702,5262.841306249999,4246.7998430724565,6365.0452340485135,3245.1242799378824,7481.615061889997
2010-000018939 Carpathian Gold Inc-f1-01585312_1-1-1,2010-04-23,PEA,4960.395,5373.015603124999,4329.626147914199,6484.0992922269315,3299.0066788576937,7607.952967483161
2010-000002331 Orsu Metals Corporation-f1-01585902_3-1-1,2010-05-25,PEA,6613.86,5465.966306249999,4413.979799719826,6591.025851195183,3355.943771705277,7710.035874655992
2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,6503.629,5465.966306249999,4413.979799719826,6591.025851195183,3355.943771705277,7710.035874655992
2010-000003958 OPAWICA EXPLORATIONS INC-f1-01622819_1-1-1,2010-08-16,PEA,6283.167,5841.32724375,4785.8227818086325,6949.367999200171,3690.2451128360144,8017.335547619092
2010-000008329 Antares Minerals Inc. ( Planet Ventures Inc.)-f1-01632733_2-1-1,2010-09-02,PEA,4960.395,5841.32724375,4785.8227818086325,6949.367999200171,3690.2451128360144,8017.335547619092
2011a-000010750 Geologix Explorations Inc-f1-01696761_1-8-1,2010-10-08,PEA,6062.705,5967.059478125,4977.746881319115,7089.82424735183,3890.2598001382303,8114.414532203661
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,6437.4904,6101.403509375,4977.746881319115,7089.824247351829,3890.2598001382303,8114.41453220366
2010-000030584 EMED Mining Public Limited-f1-01647178_1-25-2,2010-11-17,PFS,5511.549999999999,6184.076759375,5022.767642658468,7098.941095175149,3936.8117485981857,8089.158653631547
2010-000003985 Minera Andes Inc-f1-01677470_1-1-1,2010-12-01,PEA,6613.86,6184.076759375,5022.767642658468,7098.941095175149,3936.8117485981857,8089.158653631547
2011a-000005689 Capstone Mining Corp-f1-01723434_2-1-1,2010-12-15,PFS,6062.705,6203.0227125,5066.838580198912,7115.821560923007,3979.655572116573,8077.621533564766
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,6500.0,6199.57799375,5103.835557993427,7115.326457050094,4024.068005439979,8047.049803553314
2011a-000005795 Bard Ventures Ltd-f1-01704876_1-1-1,2011-01-21,PEA,6613.86,6189.2438375,5103.835557993427,7115.326457050094,4024.068005439979,8047.049803553314
2011a-000020823 Equinox Minerals Limited-f1-01709025_1-1-1,2011-03-07,FS,4409.24,6203.71165625,5230.43086399324,7124.91110382521,4247.590977205229,8036.55145686917
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,7716.17,6203.71165625,5339.270690198957,7150.084583392851,4441.631247194788,8063.259033582576
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,7716.17,6234.714125,5339.270690198957,7150.084583392851,4441.631247194789,8063.259033582576
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,6062.705,6288.107265625,5373.618967298067,7153.793926819617,4509.755425221134,8070.105344264234
2011b-000031165 Mawson West Ltd-f1-01770009_1-1-1,2011-06-30,FS,5511.549999999999,6288.107265625,5412.391313752347,7162.864468400637,4585.435972426569,8086.38228172315
2011b-000000880 NovaGold Resources Inc-f1-01801094_1-1-1,2011-07-11,PFS,5842.243,6288.107265625,5412.391313752347,7162.864468400637,4585.435972426569,8086.38228172315
2011b-000030669 Ivanhoe Australia Limited-f1-01816075_1-1-1,2011-09-30,PEA,6613.86,6204.157003124999,5521.849031297825,7224.090308952906,4760.6256758769005,8165.10823118706
"2011b-000023134 General Moly, Inc-f1-01825783_1-1-1",2011-11-11,PFS,5511.549999999999,6204.157003124999,5592.309483240248,7267.04809514284,4842.177283279806,8191.654507084991
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,7980.7244,6254.76479375,5592.309483240248,7267.04809514284,4842.177283279806,8191.654507084992
2012-000033030 Intergeo MMC Ltd-f1-01908033_1-1-1,2011-12-01,PEA,6062.705,6254.76479375,5592.309483240248,7267.04809514284,4842.177283279806,8191.654507084992
2012-000002894 Abacus Mining & Exploration Corp-f1-01846955_1-1-1,2012-01-06,FS,6062.705,6385.260484375,5658.739406150375,7324.011558728416,4921.550571992638,8252.09487714872
2012-000009698 Virgin Metals Inc-f1-01912517_1-1-1,2012-01-10,PEA,5511.549999999999,6385.260484375,5658.739406150375,7324.011558728416,4921.550571992638,8252.09487714872
2012-000005801 Exeter Resource Corporation-f1-01849096_1-1-1,2012-01-16,PFS,6062.705,6443.232474371101,5658.739406150375,7324.011558728416,4921.550571992638,8252.09487714872
2012-000025132 Coro Mining Corp-f1-01881235_1-1-1,2012-03-01,PFS,6172.936,6607.9364287344015,5907.05433612181,7524.256723566431,5208.890759289006,8443.295534178247
2012-000004818 New Gold Inc-f1-01877712_2-1-1,2012-03-23,FS,6062.705,6632.0494599844005,5948.416047464019,7573.182022267578,5250.2717572092615,8499.80370681638
2012-000002331 Orsu Metals Corporation-f1-01880475_1-1-1,2012-03-27,FS,7163.0,6632.0494599844005,5948.416047464019,7573.182022267578,5250.2717572092615,8499.80370681638
2013-000029557 Yellowhead Mining Inc-f1-02012574_1-1-1,2012-03-29,FS,5511.549999999999,6632.0494599844005,5948.416047464018,7573.182022267578,5250.271757209262,8499.80370681638
2012-000029557 Yellowhead Mining Inc-f1-01882029_1-1-1,2012-03-29,FS,5511.549999999999,6632.0494599844005,5948.416047464018,7573.182022267578,5250.271757209262,8499.80370681638
2012-000033030 Intergeo MMC Ltd-f1-01908033_1-3-1,2012-03-31,PEA,6062.705,6632.0494599844005,5948.416047464018,7573.182022267578,5250.271757209262,8499.80370681638
2012-000033594 IMX Resources Limited-f1-01966520_4-1-1,2012-04-13,PEA,7495.708,6630.327100609402,5970.816110833233,7588.986216712856,5274.317453478941,8510.657665238186
2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,7231.1536,6773.9718724844015,6016.450590350258,7644.023856739985,5310.298676575489,8565.445209354944
2012-000030469 Cerro Resources NL-f1-01930652_2-1-1,2012-05-11,FS,7582.0,6773.971872484401,6038.120242810216,7663.300398102489,5324.107008296585,8574.467318881132
2012-000005760 Sunridge Gold Corp-f1-01928370_5-1-1,2012-05-14,FS,7231.1536,6779.483422484401,6038.120242810216,7663.3003981024885,5324.107008296585,8574.467318881132
2012-000004904 Cadillac Ventures Inc-f1-01928596_2-1-1,2012-05-15,PEA,8231.571159750421,6779.483422484401,6038.120242810216,7663.3003981024885,5324.107008296585,8574.467318881132
2014-000005703 Quaterra Resources Inc-f1-02157819_2-1-1,2012-05-23,PEA,6613.86,6779.483422484401,6066.364960607136,7683.615608991055,5351.065470691603,8585.566767459444
2012-000007531 Seabridge Gold Inc-f1-01928341_1-1-1,2012-06-22,PFS,7605.939,6868.2972455749605,6100.236778981905,7710.968937555555,5383.009889949754,8604.474207097053
2012-000008808 Aura Minerals Inc-f1-01957515_2-1-1,2012-07-12,PEA,5952.474,6868.2972455749605,6155.3608752900955,7749.250940056154,5435.799494631825,8623.579624163944
2012-000005386 Augusta Resource Corporation-f1-01952933_1-1-1,2012-07-24,FS,7716.17,6916.72084054052,6174.864294082294,7755.518420919205,5451.234475316369,8612.542728990189
2012-000008808 Aura Minerals Inc-f1-01971153_3-1-1,2012-09-04,FS,6415.4442,7003.806224221638,6202.75894584739,7730.253242127781,5465.570388779659,8520.558981340439
2012-000033595 Ivanplats Limited-f1-01959806_1-1-1,2012-09-05,PEA,6283.167,7003.806224221638,6202.75894584739,7730.253242127781,5465.570388779659,8520.558981340439
2013-000006160 Catalyst Copper Corp-f1-02007057_1-1-1,2012-09-19,PEA,5952.474,6968.058277683229,6192.5740213908075,7703.659998357485,5438.420199707677,8460.592153641031
2014-000008250 Northland Resources S.A-f1-02180596_1-1-1,2012-10-24,FS,6950.0,6919.630403693,6149.187387137159,7629.78848585971,5384.316812113791,8345.51900955889
2012-000008502 Entree Gold Inc-f1-01983697_3-1-1,2012-10-24,PEA,6613.86,6919.630403693,6149.187387137159,7629.78848585971,5384.316812113791,8345.51900955889
2012-000032329 Copper North Mining Corp-f1-01988874_1-1-1,2012-10-31,FS,7146.256077795786,6919.630403693,6149.187387137159,7629.78848585971,5384.316812113791,8345.51900955889
2012-000033594 IMX Resources Limited-f1-01981915_5-1-1,2012-11-05,PEA,7980.7244,6919.630403693,6149.187387137159,7629.78848585971,5384.316812113791,8345.51900955889
2012-000003827 Wildcat Silver Corporation-f1-01981481_3-1-1,2012-11-12,PEA,7716.17,6919.630403693,6148.718953597969,7594.324930615224,5395.031097252939,8286.243051287447
2012-000009131 Euromax Resources Ltd-f1-01995793_2-1-1,2012-12-05,PEA,6635.906199999999,6873.126700567999,6148.718953597969,7594.324930615224,5395.031097252939,8286.243051287449
2012-000026619 Crazy Horse Resources Inc-f1-01922019_3-1-1,2012-12-06,PFS,6613.86,6873.126700567999,6148.718953597969,7594.324930615224,5395.031097252939,8286.243051287449
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,7495.708,6874.849059942999,6186.412161966133,7591.945321106119,5463.797069067393,8274.863387347363
2013-000023684 Western Copper and Gold Corporation-f1-02014531_1-1-1,2013-01-25,FS,7022.0735812922085,6916.874628693,6213.205170161929,7599.864110240922,5508.71651505975,8282.034395217735
2013-000029999 St. Augustine Gold and Copper Limited-f1-02126728_1-1-1,2013-02-25,PFS,6613.86,6975.349738067999,6259.64124171476,7603.985159892439,5594.224250410253,8282.91208676561
2013-000027259 Lumina Copper Corp-f1-02065843_2-1-1,2013-04-09,PEA,6062.705,6988.962966886881,6303.404765538482,7597.224619021253,5680.117369293448,8267.757076258988
2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,7165.014999999999,6949.088034713632,6333.833988010692,7617.052615496905,5728.620198364241,8295.057453336667
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,8157.094,6949.088034713632,6335.826653548172,7608.756070767811,5733.069695916451,8278.92853035573
2013-000004926 AVINO SILVER & GOLD MINES LTD-f1-02086857_1-1-1,2013-07-19,PEA,7120.9226,6879.662415625,6339.991106470487,7604.07261315683,5734.694271059439,8262.857284432126
2013-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-02129007_3-1-1,2013-08-01,PEA,6613.86,6879.662415625,6349.096818247097,7605.534759287568,5741.216997389364,8254.092879470307
2013-000013198 Nevada Copper Corp-f1-02132890_1-1-1,2013-08-22,FS,7341.384599999999,6918.932209375,6355.469957153878,7606.422226552956,5742.2745779796305,8244.179116777788
2013-000005673 Bellhaven Copper & Gold Inc-f1-02129085_1-1-1,2013-09-01,PEA,7165.014999999999,6971.63640625,6370.00319015356,7620.503717028945,5750.974144369621,8251.97519812039
2013-000008633 Los Andes Copper Ltd-f1-02146428_1-1-1,2013-09-09,PEA,6062.705,6971.63640625,6370.00319015356,7620.503717028945,5750.974144369621,8251.97519812039
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,8157.094,7042.5976125,6379.254278716228,7632.5261165215525,5752.123550791832,8258.66722640248
2013-000006220 International Enexco Limited-f1-02119941_1-1-1,2013-10-01,PFS,7054.784,7042.5976125,6379.254278716228,7632.5261165215525,5752.123550791832,8258.66722640248
2013-000005717 Belvedere Resources Ltd-f1-02118272_1-1-1,2013-10-02,PEA,6000.0,7042.5976125,6379.254278716228,7632.5261165215525,5752.123550791832,8258.66722640248
2013-000008938 THEMAC Resources Group Limited-f1-02135989_1-1-1,2013-10-07,FS,6613.86,7042.5976125,6379.254278716228,7632.5261165215525,5752.123550791832,8258.66722640248
2013-000033595 Ivanhoe Mines Ltd-f1-02141851_1-1-1,2013-11-15,PEA,6613.86,7018.484581250001,6390.2027912334925,7625.39250681406,5777.508353560734,8247.887784721868
2014-000005967 Amerigo Resources Ltd-f1-02196760_1-1-1,2013-12-31,PEA,6503.629,6944.7676,6375.8389987553055,7579.244949241896,5794.078820166859,8200.890721140044
2014-000005689 Capstone Mining Corp-f1-02202859_1-1-1,2014-01-01,PFS,6062.705,6944.7676,6375.8389987553055,7579.244949241896,5794.078820166859,8200.890721140044
2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,7165.014999999999,6944.767600000001,6375.838998755305,7579.244949241896,5794.078820166859,8200.890721140044
2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,8024.8168,6944.767600000001,6375.838998755305,7579.244949241896,5794.078820166859,8200.890721140044
2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,8024.8168,6928.23295,6375.838998755305,7579.244949241897,5794.078820166859,8200.890721140044
2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,6613.86,6967.50274375,6365.236142103926,7561.458204631341,5779.5473720984755,8171.991497153307
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,6746.1372,6967.50274375,6365.236142103926,7561.458204631341,5779.5473720984755,8171.991497153307
2014-000009674 Mustang Minerals Corp-f1-02213716_1-1-1,2014-04-30,PEA,7495.708,6959.252974999999,6358.82654155915,7552.350881224571,5767.430772571426,8154.479451902266
2014-000005689 Capstone Mining Corp-f1-02231705_2-1-1,2014-05-22,FS,6283.167,6950.605084375,6358.82654155915,7552.350881224571,5767.430772571426,8154.479451902266
"2014-000023134 General Moly, Inc-f1-02238615_2-1-1",2014-07-25,PFS,7165.014999999999,6941.9571937499995,6385.055928222822,7558.577274926354,5811.57219668002,8158.614890087083
2014-000008483 Alacer Gold Corp-f1-02237181_1-1-1,2014-07-29,FS,7253.199799999999,6941.9571937499995,6385.055928222822,7558.577274926354,5811.57219668002,8158.614890087083
2014-000031165 Mawson West Limited-f1-02295404_1-1-1,2014-11-30,FS,7100.0,6984.926434375,6416.984214794504,7573.14716453125,5891.029398339006,8203.3552978125
2015-000031453 Pilot Gold Inc-f1-02308581_1-1-1,2014-12-20,PEA,6393.397999999999,6954.612909375,6416.984214794503,7573.14716453125,5891.029398339006,8203.3552978125
2015-000024464 Wellgreen Platinum Ltd-f1-02304935_1-2-1,2015-02-02,PEA,6613.86,6954.612909375,6416.984214794503,7573.14716453125,5891.029398339006,8203.3552978125
2015-000019503 Panoro Minerals Ltd-f1-02354457_1-1-1,2015-05-01,PEA,7165.014999999999,6907.4202625,6353.207490257918,7508.759655184964,5814.806516843962,8125.910846698052
2015-000027965 Ecuador Gold and Copper Corp-f1-02358631_1-1-1,2015-05-19,PEA,7363.430799999999,6907.4202625,6218.852482450364,7363.649089160699,5650.470972322602,7940.064185743273
2016-000016002 Gold Reach Resources Ltd-f1-02457915_1-1-1,2016-01-01,PEA,6613.86,6539.96054375,5760.43254456769,6906.0877093297,5048.076561010379,7339.386890534399
