report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2011a-000001640 IMPACT Silver Corp-f1-01695177_1-1-1,2011-01-28,MRE,1763.696,2065.364281670819,1726.2497764906475,2408.2250652160174,1387.1352713104764,2751.085848761216
2011a-000005272 Jayden Resources Inc-f1-01707238_1-1-1,2011-03-04,PEA,1983.0,2065.5219973366547,1726.3815966423347,2408.408962469889,1387.2411959480144,2751.2959276031233
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,2094.389,2074.9288930024913,1734.2439634338648,2419.3774497868153,1393.5590338652378,2763.8260065711393
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,2204.62,2078.6037766683276,1737.315463780354,2423.6623824906287,1396.0271508923804,2768.7209883129303
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,2204.62,2087.5697483341637,1744.809302383804,2434.1167502219314,1402.0488564334441,2780.6637521096986
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,1984.158,2083.969386,1741.800087626973,2429.9187097629483,1399.6307892539457,2775.868033525896
2011b-000021551 Selwyn Resources Ltd-f1-01761763_1-12-1,2011-07-06,MRE,2425.082,2090.7335367751816,1747.453624810428,2437.8057433416025,1404.1737128456743,2784.877949908024
2011b-000024219 Zincore Metals Inc-f1-01826319_1-1-1,2011-09-01,PEA,2094.389,2095.072605550363,1751.0802569594427,2442.8651191993254,1407.0879083685227,2790.6576328482884
2012-000019735 Andover Mining Corp-f1-01847454_1-1-1,2011-11-17,,1895.9732,2106.245996325544,1760.4190760236984,2455.8933486342207,1414.5921557218521,2805.5407009428973
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2689.6364,2111.907837100726,1765.1512927369527,2462.4950832488153,1418.3947483731804,2813.082329396905
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2118.892449875907,1770.989094014448,2470.6391766202823,1423.085738152989,2822.3859033646577
