,report_id,effective_date,report_type,pb_price_usd_dmt,reported_lead_price_rolling_40_mean,reported_lead_price_rolling_40_std,reported_lead_price_upper_1STD,reported_lead_price_lower_1STD,reported_lead_price_upper_2STD,reported_lead_price_lower_2STD
22,2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2094.389,1913.3813918578985,521.1199418229977,2434.501333680896,1392.261450034901,2955.621275503894,871.1415082119031
23,2012-000003827 Wildcat Silver Corporation-f1-01981481_3-1-1,2012-11-12,PEA,0.0,1833.6571671971526,642.1071753154067,2475.7643425125593,1191.5499918817459,3117.8715178279663,549.4428165663392
24,2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2226.6662,1849.3775285092665,633.4829391768458,2482.8604676861123,1215.8945893324208,3116.343406862958,582.411650155575
25,2012-000031912 Sunshine Silver Mines Corporation-f1-02001215_1-2-1,2012-12-21,,1873.927,1850.3217389512179,620.7026572573503,2471.0243962085683,1229.6190816938674,3091.7270534659183,608.9164244365172
26,2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1984.158,1855.27863750858,609.1937752270682,2464.472412735648,1246.084862281512,3073.6661879627163,636.8910870544437
27,2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,1895.9732,1856.7320147404166,597.8554375316513,2454.587452272068,1258.8765772087654,3052.4428898037195,661.021139677114
28,2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2204.62,1868.728152163161,590.6259721453966,2459.3541243085574,1278.1021800177643,3049.9800964539545,687.4762078723677
29,2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,1872.5758137577222,580.73594824732,2453.3117620050425,1291.8398655104022,3034.0477102523623,711.1039172630822
30,2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2204.62,1883.286916539731,574.0809985889039,2457.367915128635,1309.2059179508271,3031.4489137175387,735.1249193619233
31,2013-000029631 Pan American Goldfields Ltd-f1-02088952_2-1-1,2013-07-24,PEA,2226.6662,1894.0175191478645,567.9985930781077,2462.0161122259724,1326.0189260697568,3030.01470530408,758.0203329916492
32,2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2403.0358,1909.4423155373233,566.0317614984441,2475.4740770357676,1343.4105540388791,3041.5058385342118,777.3787925404351
33,"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2204.62,1918.1240121391666,559.6836168793942,2477.807629018561,1358.4403952597722,3037.491245897955,798.7567783803781
34,2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,2094.389,1923.160154649476,552.1959220041579,2475.356076653634,1370.9642326453181,3027.551998657792,818.7683106411603
35,2013-000016057 Tamerlane Ventures Inc-f1-02146900_2-1-1,2013-12-13,OTHER,2204.62,1930.9784836869908,546.2681322865877,2477.2466159735786,1384.710351400403,3023.514748260166,838.4422191138153
36,2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2233.28006,1939.148796560315,540.9155529926512,2480.064349552966,1398.233243567664,3020.9799025456177,857.3176905750126
37,2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,2094.389,1943.234065071886,534.1497967785157,2477.383861850402,1409.0842682933703,3011.5336586289177,874.9344715148547
38,2014-000002470 Fortune Minerals Limited-f1-02236003_2-1-1,2014-04-18,,2204.62,1949.9362685315812,528.7339134048243,2478.6701819364052,1421.2023551267569,3007.4040953412295,892.4684417219325
39,2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014-04-28,,2204.62,1956.3033618182915,523.4624653603494,2479.765827178641,1432.840896457942,3003.22829253899,909.3784310975927
40,2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,2204.62,1978.349561818292,514.5912722614135,2492.9408340797054,1463.7582895568785,3007.532106341119,949.167017295465
41,2014-000029868 Tahoe Resources Inc-f1-02274600_1-1-1,2014-11-05,,2094.389,1986.6168868182917,513.7099344941959,2500.3268213124875,1472.906952324096,3014.0367558066837,959.1970178299
42,2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,2160.5276,2002.0492268182916,509.30189128629877,2511.3511181045906,1492.7473355319928,3020.653009390889,983.445444245694
43,2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,2403.0358,2018.0327218182915,511.65661884943364,2529.689340667725,1506.3761029688578,3041.345959517159,994.7194841194242
44,2015-000028681 Golden Minerals Company-f1-02327135_1-1-1,2015-02-20,,1873.927,2015.2769468182917,512.1403683620198,2527.4173151803116,1503.1365784562718,3039.5576835423312,990.9962100942521
45,2015-000003353 Excellon Resources Inc-f1-02361109_1-2-1,2015-07-09,,1984.158,2012.521171818292,512.0003109822737,2524.5214828005655,1500.5208608360183,3036.5217937828393,988.5205498537446
46,2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1278.3184750308037,2005.8982836940618,519.8791048775846,2525.7773885716465,1486.019178816477,3045.6564934492308,966.1400739388926
47,2016-000012585 Americas Silver Corporation-f1-02478065_1-1-1,2016-03-18,,1873.927,2003.9964586940616,520.2278639781412,2524.224322672203,1483.7685947159205,3044.4521866503437,963.5407307377793
48,2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,2006.2042,2009.508008694062,519.0227269678995,2528.5307356619614,1490.4852817261626,3047.5534626298613,971.462554758263
