,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
75,2009-000003273 Osisko Mining Corporation-f1-01373072_1-6-1,2009-02-12,MRE,775.0,696.1465784803357,136.86212855033457,833.0087070306703,559.2844499300012,969.8708355810049,422.4223213796666
76,"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,600.0,690.5973284803357,136.12770316120535,826.725031641541,554.4696253191304,962.8527348027465,418.341922157925
77,2009-000001166 Comaplex Minerals Corp-f1-01377866_2-1-1,2009-02-20,PEA,700.0,693.7473284803357,134.81191878115567,828.5592472614914,558.93540969918,963.371166042647,424.12349091802434
78,2009-000005733 Sabina Silver Corporation-f1-01407382_1-1-1,2009-02-26,MRE,642.4670735624799,693.5590053193977,134.8798422094668,828.4388475288645,558.6791631099309,963.3186897383313,423.79932090046407
79,2009-000002878 Banro Corporation-f1-01381509_1-1-1,2009-02-27,FS,850.0,694.8090053193977,136.1175868939676,830.9265922133652,558.6914184254301,967.0441791073329,422.5738315314625
80,2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,562.1586893671699,690.1129725535769,137.39890012721068,827.5118726807876,552.7140724263662,964.9107728079982,415.31517229915556
81,2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,750.0,698.8629725535769,129.35919696155702,828.2221695151339,569.5037755920199,957.581366476691,440.1445786304629
82,2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,700.0,700.1129725535769,129.1162738206327,829.2292463742097,570.9966987329442,958.3455201948423,441.8804249123115
83,2009-000025297 Sandstorm Resources Ltd-f1-01386230_1-3-1,2009-03-06,PFS,765.0,704.2379725535769,128.46994744905737,832.7079200026343,575.7680251045196,961.1778674516917,447.2980776554622
84,2009-000004130 KINBAURI GOLD CORP-f1-01384831_1-1-1,2009-03-06,PEA,699.48,705.4749725535769,128.172184107949,833.6471566615259,577.3027884456279,961.8193407694748,449.1306043376789
85,2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,800.0,709.2249725535769,128.70073123684082,837.9257037904177,580.524241316736,966.6264350272586,451.82351007989524
86,2009-000003026 North American Palladium Ltd-f1-01386739_1-1-1,2009-03-13,MRE,850.0,714.5999725535769,130.00432807558266,844.6043006291595,584.5956444779943,974.6086287047422,454.59131640241156
87,2009-000003958 OPAWICA EXPLORATIONS INC-f1-01402936_1-1-1,2009-03-19,MRE,750.0,712.624972553577,128.81647231827094,841.4414448718479,583.808500235306,970.2579171901189,454.9920279170351
88,2009-000003456 Gold Hawk Resources Inc-f1-01400028_1-1-1,2009-03-30,,900.0,721.374972553577,129.37261602341397,850.7475885769909,592.0023565301631,980.1202046004049,462.62974050674904
89,2009-000000880 NovaGold Resources Inc-f1-01433772_1-1-1,2009-04-01,FS,725.0,723.624972553577,128.6122857944126,852.2372583479896,595.0126867591644,980.8495441424022,466.4004009647518
90,2009-000005955 Serengeti Resources Inc-f1-01403700_1-1-1,2009-04-08,MRE,900.0,729.874972553577,130.9950768263091,860.870049379886,598.8798957272679,991.8651262061951,467.8848189009588
91,2009-000014169 Rusoro Mining Ltd-f1-01435225_1-1-1,2009-04-22,PEA,700.0,727.874972553577,130.82075146737571,858.6957240209526,597.0542210862013,989.5164754883284,466.23346961882555
92,2009-000024272 Animas Resources Ltd-f1-01444306_1-1-1,2009-05-01,MRE,350.0,726.624972553577,134.22843987888174,860.8534124324588,592.3965326746952,995.0818523113405,458.1680927958135
93,2009-000004446 Ontex Resources Limited-f1-01422283_1-1-1,2009-05-04,,850.0,724.124972553577,130.85014753929346,854.9751200928704,593.2748250142836,985.8252676321639,462.42467747499006
94,2009-000026184 Troy Resources NL-f1-01435696_1-1-1,2009-05-06,FS,733.0,721.9775450535769,129.95672213628376,851.9342671898607,592.0208229172931,981.8909893261444,462.0641007810094
95,2009-000006455 Ely Gold & Minerals Inc-f1-01424660_1-1-1,2009-05-08,PEA,750.0,719.8245350201321,128.7247594138734,848.5492944340054,591.0997756062587,977.2740538478788,462.3750161923853
96,2009-000025019 MVE Capital Corp-f1-01430818_1-1-1,2009-05-25,,400.0,714.8245350201321,137.1095666833998,851.934101703532,577.7149683367322,989.0436683869317,440.6054016533325
97,2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,680.0,716.8245350201321,135.97043156746415,852.7949665875963,580.8541034526679,988.7653981550604,444.8836718852038
98,2009-000025547 Garson Gold Corp-f1-01435503_1-1-1,2009-05-30,,725.0,714.9495350201321,135.3095622123747,850.2590972325067,579.6399728077574,985.5686594448814,444.3304105953827
99,2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,613.54,708.6630350201322,133.9944866719217,842.6575216920538,574.6685483482105,976.6520083639755,440.6740616762888
100,2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,700.0,716.1630350201322,124.3216006220922,840.4846356422244,591.84143439804,964.8062362643166,467.51983377594775
101,2009-000005729 Midway Gold Corp-f1-01454352_2-1-1,2009-07-01,MRE,750.0,716.1630350201322,124.3216006220922,840.4846356422244,591.84143439804,964.8062362643166,467.51983377594775
102,2009-000022554 Gryphon Gold Corporation-f1-01466880_1-1-1,2009-07-20,PFS,800.0,720.2161440732413,124.34661721439224,844.5627612876335,595.869526858849,968.9093785020257,471.5229096444568
103,2009-000003240 ST ANDREW GOLDFIELDS LTD-f1-01455927_1-1-1,2009-08-06,MRE,950.0,727.3911440732412,129.147984646892,856.5391287201332,598.2431594263492,985.6871133670252,469.0951747794572
104,2009-000004246 Vista Gold Corp-f1-01473250_3-1-1,2009-08-12,MRE,325.0,715.5161440732412,143.3567217768301,858.8728658500713,572.1594222964111,1002.2295876269014,428.802700519581
105,2009-000005589 International Wayside Gold Mines Ltd-f1-01488666_1-1-1,2009-08-17,PFS,750.0,716.7661440732412,143.43592539456876,860.2020694678099,573.3302186786725,1003.6379948623787,429.8942932841037
106,2009-000004818 New Gold Inc-f1-01465995_3-1-1,2009-08-25,FS,500.0,708.0161440732412,145.75660462753234,853.7727487007735,562.2595394457089,999.5293533283059,416.5029348181765
107,2009-000011769 Fronteer Development Group Inc-f1-01515022_4-1-1,2009-08-28,PEA,800.0,718.0161440732412,137.57437230138947,855.5905163746306,580.4417717718518,993.1648886760202,442.86739947046226
108,2009-000009568 Lake Shore Gold Corp-f1-01483540_3-1-1,2009-08-28,,950.0,720.5161440732412,140.90261956729267,861.4187636405338,579.6135245059486,1002.3213832078266,438.71090493865586
109,2009-000003958 OPAWICA EXPLORATIONS INC-f1-01472014_3-1-1,2009-08-31,MRE,750.0,720.5161440732412,140.90261956729267,861.4187636405338,579.6135245059486,1002.3213832078266,438.71090493865586
