,report_id,effective_date,report_type,au_price_usd_troy_oz,reported_gold_price_rolling_40_mean,reported_gold_price_rolling_40_std,reported_gold_price_upper_1STD,reported_gold_price_lower_1STD,reported_gold_price_upper_2STD,reported_gold_price_lower_2STD
50,2008-000003277 Atna Resources Ltd-f1-01269132_3-1-1,2008-05-08,FS,650.0,599.5993160113761,99.0394797668025,698.6387957781786,500.5598362445736,797.6782755449811,401.5203564777711
51,2009-000025297 Sandstorm Resources Ltd-f1-01386230_1-1-1,2008-05-09,FS,780.0,604.0993160113761,103.06559646124568,707.1649124726218,501.03371955013046,810.2305089338674,397.9681230888848
52,2008-000020335 Quadra Mining Ltd-f1-01268597_1-1-1,2008-05-16,PEA,400.0,600.3493160113761,107.70870790523499,708.0580239166111,492.64060810614114,815.7667318218461,384.93190020090617
53,2008-000025543 Paramount Gold and Silver Corp-f1-01285714_1-1-1,2008-06-13,MRE,950.0,609.0993160113761,121.06773304250835,730.1670490538845,488.0315829688678,851.2347820963928,366.96384992635944
54,2008-000024059 ATW Venture Corp-f1-01283919_2-1-1,2008-06-13,OTHER,818.8971,619.5717435113761,120.63338825128577,740.2051317626618,498.93835526009036,860.8385200139476,378.30496700880457
55,2008-000023904 Cadiscor Resources Inc-f1-01327410_1-1-1,2008-06-17,,836.1204013377927,624.2247535448209,125.33499546058239,749.5597490054033,498.88975808423857,874.8947444659857,373.5547626236562
56,2009-000025132 Coro Mining Corp-f1-01424004_1-1-1,2008-06-18,PEA,600.0,626.157253544821,124.32131273943862,750.4785662842596,501.83594080538234,874.7998790236982,377.5146280659437
57,2008-000021638 Coeur d_Alene Mines Corporation-f1-01296030_2-1-1,2008-06-21,FS,600.0,627.918253544821,123.41351076450889,751.3317643093299,504.50474278031214,874.7452750738388,381.09123201580326
58,2008-000003240 ST ANDREW GOLDFIELDS LTD-f1-01291360_1-1-1,2008-07-09,,800.0,632.918253544821,126.27174496784065,759.1899985126616,506.6465085769804,885.4617434805023,380.37476360913973
59,2008-000023502 Silver Eagle Mines Inc-f1-01302075_2-1-1,2008-07-25,,865.0,640.293253544821,131.02800590442075,771.3212594492418,509.2652476404003,902.3492653536625,378.2372417359795
60,2008-000000545 SILVERADO GOLD MINES LTD-f1-01298553_1-1-1,2008-07-29,MRE,400.0,640.293253544821,131.02800590442075,771.3212594492418,509.2652476404003,902.3492653536625,378.2372417359795
61,2008-000019963 Jaguar Mining Inc-f1-01320587_1-1-1,2008-09-09,FS,750.0,644.668253544821,131.71179990940016,776.3800534542212,512.9564536354209,908.0918533636213,381.2446537260207
62,2008-000025279 Copper Mountain Mining Corporation-f1-01321217_2-1-1,2008-09-11,FS,637.8756378756378,645.6151444917119,131.5184450195303,777.1335895112422,514.0966994721816,908.6520345307725,382.5782544526513
63,2008-000017383 Manicouagan Minerals Inc-f1-01321090_1-1-1,2008-09-12,,663.0,647.1901444917119,131.33527467925097,778.5254191709628,515.854869812461,909.8606938502138,384.5195951332099
64,2008-000003832 Halo Resources Ltd-f1-01328625_2-1-1,2008-09-15,MRE,800.0,650.9401444917119,133.54051313446035,784.4806576261722,517.3996313572516,918.0211707606326,383.85911822279115
65,2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,700.0,655.9401444917119,131.47229594917,787.4124404408818,524.4678485425419,918.8847363900518,392.9955525933719
66,2008-000004246 Vista Gold Corp-f1-01333162_4-1-1,2008-10-20,FS,850.0,662.1901444917119,134.64874029306333,796.8388847847752,527.5414041986485,931.4876250778385,392.8926639055852
67,2008-000018190 Chesapeake Gold Corp-f1-01333161_1-1-1,2008-10-22,OTHER,400.0,657.1901444917119,140.5991852690521,797.789329760764,516.5909592226598,938.3885150298161,375.99177395360766
68,2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,850.0,665.9401444917119,141.4541244733475,807.3942689650594,524.4860200183643,948.8483934384069,383.0318955450169
69,2009-000002894 Abacus Mining & Exploration Corp-f1-01382375_1-1-1,2008-10-31,MRE,750.0,674.0651444917119,136.5072351769657,810.5723796686775,537.5579093147462,947.0796148456433,401.05067413778045
70,2008-000004130 KINBAURI GOLD CORP-f1-01345065_2-1-1,2008-11-14,MRE,750.0,676.1151444917119,137.02853916425275,813.1436836559647,539.0866053274592,950.1722228202175,402.05806616320643
71,2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,700.0,678.6465784803357,136.49679782984617,815.1433763101819,542.1497806504896,951.6401741400281,405.6529828206434
72,2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,800.0,684.8965784803357,136.17841498959976,821.0749934699355,548.718163490736,957.2534084595352,412.5397485011362
73,2009-000000545 SILVERADO GOLD MINES LTD-f1-01363332_1-1-1,2009-01-01,,700.0,687.3965784803357,135.49610193636465,822.8926804167004,551.9004765439711,958.388782353065,416.4043746076064
74,2009-000007862 Golden Band Resources Inc-f1-01384353_1-1-1,2009-01-16,PFS,825.0,693.0215784803357,136.44191650867862,829.4634949890144,556.5796619716571,965.905411497693,420.1377454629785
