id,report_id,effective_date,report_type,cu_price_usd_dmt,reported_copper_price_rolling_40_mean,reported_copper_price_rolling_40_std,reported_copper_price_upper_1STD,reported_copper_price_lower_1STD,reported_copper_price_upper_2STD,reported_copper_price_lower_2STD
88,2010-000003985 Minera Andes Inc-f1-01677470_1-1-1,2010-12-01,PEA,6613.86,5318.30998,1127.963005174716,6446.272985174716,4190.346974825284,7574.2359903494325,3062.383969650568
89,2010-000023684 Western Copper Corporation-f1-01671582_1-1-1,2010-12-01,MRE,4409.24,5318.30998,1127.963005174716,6446.272985174716,4190.346974825284,7574.2359903494325,3062.383969650568
90,2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,5864.2892,5321.61691,1129.399972489897,6451.0168824898965,4192.216937510103,7580.416854979794,3062.8169650202058
91,2011a-000005689 Capstone Mining Corp-f1-01723434_2-1-1,2010-12-15,PFS,6062.705,5376.73241,1109.770186287009,6486.502596287009,4266.962223712991,7596.272782574018,3157.1920374259817
92,2011a-000011551 TintinaGold Resources Inc-f1-01689809_1-1-1,2010-12-20,,6062.705,5418.0690349999995,1103.5859145003185,6521.654949500318,4314.483120499681,7625.240864000636,3210.8972059993625
93,2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,6500.0,5470.338035,1104.091802358605,6574.429837358604,4366.246232641395,7678.52163971721,3262.1544302827897
94,2011a-000005795 Bard Ventures Ltd-f1-01704876_1-1-1,2011-01-21,PEA,6613.86,5525.453535,1104.7906673087734,6630.244202308773,4420.662867691226,7735.034869617546,3315.872200382453
95,2011a-000001640 IMPACT Silver Corp-f1-01695177_1-1-1,2011-01-28,MRE,5754.0582,5559.073989999999,1090.319270598464,6649.393260598463,4468.754719401535,7739.712531196927,3378.435448803071
96,"2011a-000023256 Mines Management, Inc-f1-01693687_1-1-1",2011-02-03,,6834.322,5546.18204,1071.4864080215098,6617.66844802151,4474.6956319784895,7689.154856043019,3403.20922395698
97,2011a-000020823 Equinox Minerals Limited-f1-01709025_1-1-1,2011-03-07,FS,4409.24,5540.6704899999995,1076.8749687165614,6617.5454587165605,4463.795521283439,7694.420427433122,3386.9205525668767
98,2011a-000008502 Entree Gold Inc-f1-01716539_1-1-1,2011-03-11,MRE,5511.549999999999,5568.22824,1061.1684911469079,6629.396731146908,4507.059748853093,7690.565222293816,3445.8912577061847
99,2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,7716.17,5623.343739999999,1114.0823146102916,6737.4260546102905,4509.261425389708,7851.508369220583,3395.179110779416
100,2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,7716.17,5706.01699,1143.975030633577,6849.992020633577,4562.041959366423,7993.967051267155,3418.066928732846
101,2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,5511.549999999999,5733.57474,1125.0559601217603,6858.63070012176,4608.51877987824,7983.68666024352,3483.4628197564793
102,2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,6062.705,5774.911365,1105.3529565620195,6880.264321562019,4669.558408437981,7985.617278124038,3564.205451875961
103,2011b-000031165 Mawson West Ltd-f1-01770009_1-1-1,2011-06-30,FS,5511.549999999999,5763.888265,1105.7352995540746,6869.623564554075,4658.152965445925,7975.358864108149,3552.4176658918504
104,2011b-000000880 NovaGold Resources Inc-f1-01801094_1-1-1,2011-07-11,PFS,5842.243,5783.17869,1100.0467779223263,6883.225467922326,4683.131912077673,7983.272245844652,3583.085134155347
105,2011b-000001913 Northgate Minerals Corporation-f1-01800614_1-1-1,2011-07-22,,6172.936,5882.38659,935.7042294731249,6818.090819473125,4946.6823605268755,7753.79504894625,4010.97813105375
106,2011b-000030669 Ivanhoe Australia Limited-f1-01816075_1-1-1,2011-09-30,PEA,6613.86,5937.50209,911.3182553298504,6848.82034532985,5026.18383467015,7760.1386006597,4114.8655793402995
107,2011b-000030669 Ivanhoe Australia Limited-f1-01816075_1-1-2,2011-10-10,,8818.48,6042.2215400000005,994.0925981165202,7036.314138116521,5048.12894188348,8030.406736233041,4054.0363437669603
108,2011b-000008911 Monument Mining Limited-f1-01836878_1-1-1,2011-11-01,OTHER,1373.79,5903.50362,1227.779192784007,7131.282812784008,4675.724427215993,8359.062005568014,3447.9452344319866
109,2011b-000011375 Thundermin Resources Inc-f1-01840639_2-1-1,2011-11-01,,8267.324999999999,5986.176869999999,1273.145016614719,7259.321886614718,4713.031853385281,8532.466903229437,3439.8868367705613
110,"2011b-000023134 General Moly, Inc-f1-01825783_1-1-1",2011-11-11,PFS,5511.549999999999,6013.73462,1249.8532702626453,7263.5878902626455,4763.881349737355,8513.44116052529,3514.0280794747096
111,2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,7980.7244,6047.90623,1284.8763789280947,7332.782608928094,4763.029851071905,8617.65898785619,3478.15347214381
112,2012-000033030 Intergeo MMC Ltd-f1-01908033_1-1-1,2011-12-01,PEA,6062.705,6036.88313,1282.7560519835865,7319.639181983586,4754.127078016414,8602.395233967174,3471.371026032827
113,2012-000032889 Newcrest Mining Limited-f1-01866663_1-1-1,2011-12-31,,5070.625999999999,5984.523405,1278.2637479158918,7262.787152915892,4706.259657084108,8541.050900831784,3427.9959091682163
114,2012-000002894 Abacus Mining & Exploration Corp-f1-01846955_1-1-1,2012-01-06,FS,6062.705,5998.302279999999,1276.0032190329155,7274.305499032915,4722.299060967083,8550.30871806583,3446.295841934168
115,2012-000009698 Virgin Metals Inc-f1-01912517_1-1-1,2012-01-10,PEA,5511.549999999999,5979.011855,1277.4180633850037,7256.4299183850035,4701.593791614996,8533.847981770006,3424.1757282299923
116,2012-000005801 Exeter Resource Corporation-f1-01849096_1-1-1,2012-01-16,PFS,6062.705,6006.569604999999,1266.7253005962611,7273.29490559626,4739.844304403738,8540.020206192521,3473.1190038074765
117,2012-000008330 Queenston Mining Inc-f1-01883856_1-1-1,2012-02-16,,6613.86,6047.90623,1258.663293367046,7306.569523367046,4789.242936632953,8565.232816734091,3530.5796432659076
118,2012-000025132 Coro Mining Corp-f1-01881235_1-1-1,2012-03-01,PFS,6172.936,6064.44088,1255.7775894110603,7320.21846941106,4808.66329058894,8575.99605882212,3552.8857011778796
119,2012-000000923 Barrick Gold Corporation-f1-01878575_1-1-3,2012-03-16,OTHER,6062.705,6036.88313,1243.0368029380368,7279.919932938037,4793.846327061963,8522.956735876074,3550.8095241239266
120,2012-000004818 New Gold Inc-f1-01877712_2-1-1,2012-03-23,FS,6062.705,6023.104255,1239.5268887504856,7262.6311437504855,4783.577366249515,8502.15803250097,3544.050477499029
121,2012-000002331 Orsu Metals Corporation-f1-01880475_1-1-1,2012-03-27,FS,7163.0,6050.611629999999,1252.5684102590021,7303.1800402590015,4798.043219740997,8555.748450518004,3545.474809481995
122,2013-000029557 Yellowhead Mining Inc-f1-02012574_1-1-1,2012-03-29,FS,5511.549999999999,6091.948254999999,1204.726195382546,7296.674450382545,4887.222059617454,8501.40064576509,3682.4958642349075
123,2012-000029557 Yellowhead Mining Inc-f1-01882029_1-1-1,2012-03-29,FS,5511.549999999999,6068.799744999999,1206.8104990876839,7275.610244087683,4861.989245912316,8482.420743175368,3655.1787468246316
124,2012-000001691 HudBay Minerals Inc-f1-01884181_1-1-1,2012-03-29,,6062.705,6055.020869999999,1203.5697311950455,7258.590601195045,4851.451138804954,8462.16033239009,3647.8814076099084
125,2012-000033030 Intergeo MMC Ltd-f1-01908033_1-3-1,2012-03-31,PEA,6062.705,6068.799745,1200.338926277804,7269.138671277804,4868.460818722197,8469.477597555608,3668.1218924443924
126,2012-000016934 VMS Ventures Inc-f1-01906981_1-1-1,2012-04-02,,6062.705,6082.578619999999,1196.936726380023,7279.5153463800225,4885.641893619976,8476.452072760045,3688.7051672399534
127,2012-000033594 IMX Resources Limited-f1-01966520_4-1-1,2012-04-13,PEA,7495.708,6132.18257,1213.662421244186,7345.844991244186,4918.520148755814,8559.507412488372,3704.857727511628
128,2012-000030669 Ivanhoe Australia Limited-f1-01915126_1-1-1,2012-04-16,,7716.17,6159.740319999999,1237.1670314575686,7396.9073514575675,4922.57328854243,8634.074382915136,3685.406257084862
129,2012-000005760 Sunridge Gold Corp-f1-01923758_4-1-1,2012-05-01,PFS,7231.1536,6230.28816,1215.0477823503895,7445.33594235039,5015.24037764961,8660.38372470078,3800.192595299221
130,2012-000030469 Cerro Resources NL-f1-01930652_2-1-1,2012-05-11,FS,7582.0,6273.23093,1232.0163774953471,7505.247307495347,5041.214552504653,8737.263684990694,3809.1981750093055
131,2012-000005760 Sunridge Gold Corp-f1-01928370_5-1-1,2012-05-14,FS,7231.1536,6302.442145,1240.7180788216447,7543.160223821645,5061.724066178355,8783.87830264329,3821.0059873567106
132,2012-000004904 Cadillac Ventures Inc-f1-01928596_2-1-1,2012-05-15,PEA,8231.571159750421,6356.663798993761,1276.838423605969,7633.50222259973,5079.825375387792,8910.3406462057,3802.986951781823
133,2014-000005703 Quaterra Resources Inc-f1-02157819_2-1-1,2012-05-23,PEA,6613.86,6359.51029899376,1277.2929964925684,7636.803295486328,5082.2173025011925,8914.096291978898,3804.9243060086237
134,2012-000007531 Seabridge Gold Inc-f1-01928341_1-1-1,2012-06-22,PFS,7605.939,6384.312273993761,1291.9067976068006,7676.219071600562,5092.40547638696,8968.125869207362,3800.4986787801595
135,2012-000031148 Serabi Gold plc-f1-01928965_1-1-1,2012-06-28,,6613.86,6405.80731899376,1288.2993585935596,7694.1066775873205,5117.5079604002,8982.40603618088,3829.208601806641
136,2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,198.4158,6239.909663993761,1617.0255822913966,7856.9352462851575,4622.884081702364,9473.960828576553,3005.8584994109674
137,2012-000008808 Aura Minerals Inc-f1-01957515_2-1-1,2012-07-12,PEA,5952.474,6278.49051399376,1590.4186368762414,7868.909150870001,4688.071877117519,9459.327787746242,3097.653240241277
138,2012-000005386 Augusta Resource Corporation-f1-01952933_1-1-1,2012-07-24,FS,7716.17,6333.60601399376,1601.3219058438203,7934.927919837581,4732.284108149939,9536.2498256814,3130.9622023061193
139,2012-000011551 Tintina Resources Inc-f1-01957549_2-1-1,2012-08-30,,6547.7214,6304.394798993761,1586.0390302948638,7890.433829288624,4718.355768698897,9476.472859583488,3132.316738404033
140,2012-000008808 Aura Minerals Inc-f1-01971153_3-1-1,2012-09-04,FS,6415.4442,6271.87665399376,1569.6006186471752,7841.477272640935,4702.276035346585,9411.07789128811,3132.675416699409
141,2012-000003339 Noront Resources Ltd-f1-01971248_1-1-1,2012-09-04,,7936.632,6332.503703993761,1586.2266640005084,7918.730367994269,4746.277039993252,9504.957031994778,3160.0503759927437
142,2012-000033595 Ivanplats Limited-f1-01959806_1-1-1,2012-09-05,PEA,6283.167,6338.01525399376,1585.6480826318568,7923.6633366256165,4752.367171361903,9509.311419257474,3166.719088730046
143,2012-000001767 Dundee Precious Metals Inc-f1-01959503_2-1-1,2012-09-07,,6613.86,6365.573003993761,1580.4866352232007,7946.059639216961,4785.0863687705605,9526.546274440163,3204.5997335473594
144,2013-000006160 Catalyst Copper Corp-f1-02007057_1-1-1,2012-09-19,PEA,5952.474,6368.32877899376,1579.6466245759502,7947.975403569711,4788.68215441781,9527.62202814566,3209.03552984186
145,2012-000008330 Queenston Mining Inc-f1-01979771_2-1-1,2012-09-20,,6613.86,6379.351878993761,1579.7865952594393,7959.1384742532,4799.565283734321,9538.92506951264,3219.778688474882
146,2012-000005277 Polymet Mining Corp-f1-01975549_1-1-1,2012-10-12,FS,3306.93,6296.678628993761,1652.0747582651263,7948.753387258887,4644.603870728634,9600.828145524014,2992.529112463508
147,2014-000008250 Northland Resources S.A-f1-02180596_1-1-1,2012-10-24,FS,6950.0,6249.96662899376,1604.678700088722,7854.645329082483,4645.287928905038,9459.324029171205,3040.6092288163163
148,2012-000008502 Entree Gold Inc-f1-01983697_3-1-1,2012-10-24,PEA,6613.86,6380.96837899376,1396.8243930743506,7777.792772068111,4984.143985919409,9174.617165142461,3587.3195928450587
149,2012-000032329 Copper North Mining Corp-f1-01988874_1-1-1,2012-10-31,FS,7146.256077795786,6352.9416559386555,1368.974172281032,7721.915828219688,4983.967483657623,9090.89000050072,3614.9933113765915
150,2012-000033594 IMX Resources Limited-f1-01981915_5-1-1,2012-11-05,PEA,7980.7244,6414.671015938655,1385.6298880373097,7800.3009039759645,5029.041127901345,9185.930792013274,3643.4112398640355
151,2012-000003827 Wildcat Silver Corporation-f1-01981481_3-1-1,2012-11-12,PEA,7716.17,6408.057155938655,1378.5765973556254,7786.633753294281,5029.48055858303,9165.210350649906,3650.9039612274046
152,2012-000009131 Euromax Resources Ltd-f1-01995793_2-1-1,2012-12-05,PEA,6635.906199999999,6422.3871859386545,1377.87365950885,7800.260845447505,5044.513526429804,9178.134504956355,3666.6398669209543
153,2012-000026619 Crazy Horse Resources Inc-f1-01922019_3-1-1,2012-12-06,PFS,6613.86,6460.968035938655,1360.5500518164258,7821.518087755081,5100.4179841222285,9182.068139571507,3739.867932305803
154,2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,8068.9092,6511.123140938655,1382.296502901314,7893.419643839969,5128.826638037341,9275.716146741283,3746.5301351360267
155,2012-000031912 Sunshine Silver Mines Corporation-f1-02001215_1-2-1,2012-12-21,,6062.705,6524.902015938655,1374.8038491752957,7899.7058651139505,5150.098166763359,9274.509714289246,3775.294317588063
156,2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,7495.708,6560.727090938655,1381.1073229410806,7941.834413879736,5179.619767997575,9322.941736820816,3798.512445056494
157,2013-000023684 Western Copper and Gold Corporation-f1-02014531_1-1-1,2013-01-25,FS,7022.0735812922085,6570.932430470961,1383.0168768248775,7953.9493072958385,5187.915553646083,9336.966184120716,3804.8986768212058
158,2013-000029999 St. Augustine Gold and Copper Limited-f1-02126728_1-1-1,2013-02-25,PFS,6613.86,6581.95553047096,1381.5197210831855,7963.475251554146,5200.4358093877745,9344.99497263733,3818.9160883045893
159,2013-000027259 Lumina Copper Corp-f1-02065843_2-1-1,2013-04-09,PEA,6062.705,6581.95553047096,1381.5197210831855,7963.475251554146,5200.4358093877745,9344.99497263733,3818.9160883045893
160,2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,7165.014999999999,6609.51328047096,1381.890500858352,7991.403781329313,5227.622779612608,9373.294282187664,3845.732278754256
161,2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,8157.094,6634.36563047096,1400.9080009772547,8035.273631448215,5233.457629493705,9436.181632425469,3832.549628516451
162,2013-000004926 AVINO SILVER & GOLD MINES LTD-f1-02086857_1-1-1,2013-07-19,PEA,7120.9226,6674.59994547096,1390.9087289758559,8065.508674446815,5283.6912164951045,9456.41740342267,3892.782487519248
163,2013-000023668 McEwen Mining Inc. ( US Gold Corporation)-f1-02129007_3-1-1,2013-08-01,PEA,6613.86,6702.15769547096,1378.1358980216469,8080.293593492606,5324.021797449313,9458.429491514253,3945.885899427666
164,2013-000013198 Nevada Copper Corp-f1-02132890_1-1-1,2013-08-22,FS,7341.384599999999,6734.124685470961,1377.7529022899198,8111.8775877608805,5356.371783181041,9489.6304900508,3978.618880891121
