date,gold_price,gold_price_3y,gold_price_5y,gold_price_price_floor,silver_price,silver_price_3y,silver_price_5y,silver_price_price_floor,zinc_price,zinc_price_3y,zinc_price_5y,zinc_price_price_floor,copper_price,copper_price_3y,copper_price_5y,copper_price_price_floor,lead_price,lead_price_3y,lead_price_5y,lead_price_price_floor,cad_usd
2010-01-01,1082.75,867.9819444444445,736.5916666666667,736.5916666666667,16.29,14.500833333333333,12.656333333333333,12.656333333333333,2414.6625,2226.2527684395895,2307.4141743098417,2226.2527684395895,7367.375,6466.368988693279,6003.4114012702485,6003.4114012702485,2352.15,2149.604422529066,1754.156315012526,1754.156315012526,1.0438
2010-02-01,1112.5,880.0791666666668,747.8575,747.8575,16.12,14.551111111111108,12.8025,12.8025,2158.8,2193.9590184395897,2321.342840976508,2158.8,6867.675,6498.300238693279,6063.754317936916,6063.754317936916,2125.775,2159.3460891957334,1773.3696483458593,1773.3696483458593,1.0572
2010-03-01,1109.5,892.4680555555556,759.2241666666666,759.2241666666666,17.5,14.66638888888889,12.974333333333334,12.974333333333334,2277.26304347826,2166.76683025338,2336.3984155106696,2166.76683025338,7466.9347826087,6526.123553361704,6131.888151615315,6131.888151615315,2162.67608695652,2166.3932784798794,1792.7194085252934,1792.7194085252934,1.0229
2010-04-01,1175.25,906.2805555555556,771.5916666666667,771.5916666666667,18.62,14.808611111111112,13.168333333333333,13.168333333333333,2367.5,2133.4514062767716,2354.226986939241,2133.4514062767716,7729.8375,6525.470647659949,6204.221951218488,6204.221951218488,2272.15,2174.3930591816334,1814.24730535069,1814.24730535069,1.0052
2010-05-01,1214.0,921.7638888888889,784.8766666666667,784.8766666666667,18.53,14.955277777777777,13.358333333333333,13.358333333333333,1969.78947368421,2081.292119170116,2366.298353167311,1969.78947368421,6843.15789473684,6502.281911931739,6264.24291613077,6264.24291613077,1876.78947368421,2168.026100117306,1829.1056715787604,1829.1056715787604,1.0403
2010-06-01,1240.5,938.2083333333334,798.2716666666666,798.2716666666666,18.74,15.127500000000001,13.552333333333333,13.552333333333333,1746.51136363636,2029.0103581071048,2374.188580440038,1746.51136363636,6501.5,6474.150298175125,6313.772461585316,6313.772461585316,1707.28409090909,2147.76613438859,1841.182944306033,1707.28409090909,1.0376
2010-07-01,1168.0,952.1319444444445,810.6191666666666,810.6191666666666,17.66,15.258888888888887,13.7275,13.7275,1847.02727272727,1981.8084641677108,2385.0251460966037,1847.02727272727,6750.56818181818,6439.973530498357,6366.140661441014,6366.140661441014,1843.96590909091,2113.642081358287,1857.623645965485,1843.96590909091,1.0422
2010-08-01,1233.5,967.8402777777778,823.9608333333332,823.9608333333332,18.87,15.45111111111111,13.929666666666666,13.929666666666666,2047.47619047619,1948.566956832454,2397.4710371499946,1948.566956832454,7302.66666666667,6434.486367198693,6424.653287703642,6424.653287703642,2082.79761904762,2084.9644268368825,1877.5465987071875,1877.5465987071875,1.0404
2010-09-01,1311.0,983.7638888888889,837.9208333333333,837.9208333333333,22.07,15.684999999999999,14.172,14.172,2150.94318181818,1928.1042674385144,2410.042628059086,1928.1042674385144,7729.59090909091,6436.104170228997,6489.3021513400045,6436.104170228997,2192.85227272727,2056.2096288570847,1898.5479244647634,1898.5479244647634,1.033
2010-10-01,1336.75,999.1458333333334,852.3225,852.3225,23.96,15.95277777777778,14.441833333333333,14.441833333333333,2373.5619047619,1911.2590667253785,2424.8819534559107,1911.2590667253785,8289.7619047619,6443.581252124557,6559.862071974926,6443.581252124557,2383.54761904762,2019.0134878402916,1921.616972083811,1921.616972083811,1.0179
2010-11-01,1375.0,1015.2638888888889,867.0091666666666,867.0091666666666,27.13,16.311111111111114,14.757166666666668,14.757166666666668,2283.29545454545,1903.7227662203284,2436.092938304396,1903.7227662203284,8458.42045454545,6485.275380912435,6629.5330947021985,6485.275380912435,2364.97727272727,1992.4876040019076,1944.0692448110835,1944.0692448110835,1.0129
2010-12-01,1410.25,1031.201388888889,881.9633333333333,881.9633333333333,30.63,16.751944444444447,15.1205,15.1205,2287.32142857143,1901.1873275078065,2443.892878780586,1901.1873275078065,9152.85714285714,6555.334298460937,6705.796963749818,6555.334298460937,2413.20238095238,1986.8520219913257,1965.6201178269564,1965.6201178269564,1.0081
2011-01-01,1333.5,1042.5833333333333,894.6916666666667,894.6916666666667,27.75,17.05777777777778,15.417833333333334,15.417833333333334,2375.8125,1901.504088871443,2448.627253780586,1901.504088871443,9533.2,6623.509045935683,6785.619344702198,6623.509045935683,2583.975,1985.801769466073,1987.717320207909,1985.801769466073,0.9939
2011-02-01,1409.75,1054.826388888889,908.9125,908.9125,33.49,17.443055555555556,15.814333333333334,15.814333333333334,2473.45,1901.9200280248822,2452.856003780586,1901.9200280248822,9880.9375,6677.392230459493,6867.385386368865,6677.392230459493,2595.575,1972.0786543867082,2009.852945207909,1972.0786543867082,0.9876
2011-03-01,1431.0,1068.5416666666667,923.0291666666667,923.0291666666667,37.87,17.995277777777776,16.2495,16.2495,2341.47826086957,1897.2059738677501,2451.41988059218,1897.2059738677501,9503.35869565217,6707.0878667422285,6940.380132745676,6707.0878667422285,2624.02173913043,1961.2755301812665,2033.6884524542854,1961.2755301812665,0.9766
2011-04-01,1531.0,1086.9652777777778,937.9083333333333,937.9083333333333,48.7,18.890555555555554,16.851833333333335,16.851833333333335,2371.47777777778,1899.7883742605673,2439.8055287403286,1899.7883742605673,9482.75,6728.436982903844,6991.6852253382685,6728.436982903844,2719.34722222222,1958.0664252429951,2059.50164689873,1958.0664252429951,0.958
2011-05-01,1537.0,1105.2291666666667,952.625,952.625,38.65,19.496111111111112,17.27716666666667,17.27716666666667,2159.6,1899.2682353716784,2416.721481121281,1899.2682353716784,8931.675,6744.424482903845,7006.226634068428,6744.424482903845,2419.6375,1963.720591909662,2080.3706052320636,1963.720591909662,0.968
2011-06-01,1508.0,1121.2083333333333,967.7516666666667,967.7516666666667,35.02,19.97861111111111,17.6825,17.6825,2234.46590909091,1908.3874603596535,2400.6693977879477,1908.3874603596535,9066.85227272727,6765.948157146269,7036.961293159337,6765.948157146269,2524.98863636364,1982.1782788985988,2106.39352189873,1982.1782788985988,0.9766
2011-07-01,1613.75,1140.701388888889,984.0308333333334,984.0308333333334,39.63,20.593888888888888,18.15233333333333,18.15233333333333,2397.75476190476,1923.4238245188437,2385.286342232392,1923.4238245188437,9650.46428571429,6800.48822788471,7069.023396333941,6800.48822788471,2681.02380952381,2002.2055103225696,2133.5228869780954,2002.2055103225696,0.9553
2011-08-01,1826.0,1168.1875,1004.1016666666667,1004.1016666666667,41.35,21.360277777777775,18.631500000000003,18.631500000000003,2199.23863636364,1936.3290644178333,2366.274221020271,1936.3290644178333,8997.98863636364,6838.382356672589,7090.819040273334,6838.382356672589,2393.05681818182,2015.8223663831757,2153.7518642508226,2015.8223663831757,0.9817
2011-09-01,1629.0,1188.5208333333333,1021.2225,1021.2225,30.45,21.846111111111114,18.9465,18.9465,2075.22045454545,1945.5151123976316,2344.29356986587,1945.5151123976316,8300.13636363636,6875.188543541275,7102.110598714892,6875.188543541275,2287.67045454545,2027.3602451710544,2169.4375623027704,2027.3602451710544,1.0025
2011-10-01,1718.0,1216.0069444444443,1039.8408333333332,1039.8408333333332,34.24,22.539444444444445,19.31583333333333,19.31583333333333,1871.41666666667,1961.3043434765366,2311.657143098193,1871.41666666667,7394.19047619048,6944.613520536904,7100.390288469583,6944.613520536904,1960.38095238095,2040.3080252492687,2176.682926660635,1960.38095238095,1.0198
2011-11-01,1704.0,1240.7430555555557,1057.6008333333332,1057.6008333333332,31.35,23.12916666666667,19.610333333333337,19.610333333333337,1935.31818181818,1982.580890193708,2270.9355521891025,1935.31818181818,7581.02272727273,7051.608943516702,7109.585743015036,7051.608943516702,1994.21590909091,2059.9688838351276,2182.819479690938,1994.21590909091,1.0248
2011-12-01,1574.5,1260.451388888889,1073.2475,1073.2475,28.18,23.612222222222222,19.865000000000002,19.865000000000002,1911.15,2004.7543690296868,2229.763929382085,1911.15,7558.875,7175.325048014057,7124.217431611528,7124.217431611528,2024.5625,2089.313212538831,2188.07622311199,2024.5625,1.0235
2012-01-01,1738.0,1283.2152777777778,1091.4516666666666,1091.4516666666666,33.6,24.198055555555555,20.202333333333335,20.202333333333335,1989.22619047619,2026.607212945031,2199.836638617294,1989.22619047619,8061.91666666667,7308.701701453211,7163.760360904457,7163.760360904457,2100.21428571429,2115.849588200207,2195.3407793890465,2100.21428571429,1.013
2012-02-01,1788.0,1306.6666666666667,1109.9683333333335,1109.9683333333335,37.23,24.865277777777777,20.584333333333333,20.584333333333333,2057.78571428571,2052.712302230745,2178.7768171887224,2052.712302230745,8441.4880952381,7450.731579098713,7209.149329158426,7209.149329158426,2121.2619047619,2144.22839111026,2201.1105611350786,2121.2619047619,0.9967
2012-03-01,1660.75,1327.2847222222222,1126.5891666666669,1126.5891666666669,32.43,25.401944444444446,20.902333333333335,20.902333333333335,2035.925,2075.2874916246847,2158.439203552359,2035.925,8470.78409090909,7581.284609401744,7242.574139764486,7242.574139764486,2056.69318181818,2166.733125958745,2203.5724929532603,2056.69318181818,0.9938
