,report_id,effective_date,report_type,cad_rate,reported_CAD_RATE_rolling_40_mean,reported_CAD_RATE_rolling_40_std,reported_CAD_RATE_upper_1STD,reported_CAD_RATE_lower_1STD,reported_CAD_RATE_upper_2STD,reported_CAD_RATE_lower_2STD
235,2014-000029214 IDM Mining Ltd. (Formerly Revolution Resources Corp.)-f1-02257635_1-1-1,2014-07-23,,1.0526,1.0617725,0.04182383069617748,1.1035963306961776,1.0199486693038224,1.145420161392355,0.9781248386076451
236,2014-000008483 Alacer Gold Corp-f1-02237181_1-1-1,2014-07-29,FS,1.04,1.0599950000000002,0.04117957515876489,1.1011745751587652,1.0188154248412353,1.14235415031753,0.9776358496824704
237,2014-000030615 Coalspur Mines Limited-f1-02240432_2-1-1,2014-07-31,FS,1.1111,1.0599950000000002,0.04117957515876489,1.1011745751587652,1.0188154248412353,1.14235415031753,0.9776358496824704
238,"2014-000021638 Coeur Mining, Inc-f1-02257688_2-1-1",2014-08-29,FS,1.08,1.061995,0.040120120599557406,1.1021151205995574,1.0218748794004426,1.1422352411991148,0.9817547588008853
239,2014-000031351 Monarques Resources Inc-f1-02268601_1-1-1,2014-10-07,,1.12,1.06368,0.04111836697345913,1.1047983669734591,1.0225616330265408,1.1459167339469183,0.9814432660530817
240,2014-000005672 Atlantic Gold Corporation (previously Spur Ventures Inc.)-f1-02268435_1-1-1,2014-10-14,PEA,1.1111,1.0664574999999998,0.04045352437817172,1.1069110243781715,1.0260039756218282,1.1473645487563433,0.9855504512436564
241,2014-000024867 Claim Post Resources Inc-f1-02293444_2-1-1,2014-11-01,PEA,1.0,1.0664574999999998,0.04045352437817172,1.1069110243781715,1.0260039756218282,1.1473645487563433,0.9855504512436564
242,2014-000022850 Alexco Resource Corp-f1-02296485_1-1-1,2014-11-15,,1.1236,1.0682975000000001,0.04134966894419855,1.1096471689441987,1.0269478310558016,1.1509968378883972,0.985598162111603
243,2014-000032549 Lamêlée Iron Ore Ltd-f1-02294795_1-1-1,2014-11-25,PEA,1.1111,1.071075,0.04036402784150371,1.1114390278415036,1.0307109721584964,1.1518030556830074,0.9903469443169926
244,2015-000031701 Aurvista Gold Corporation-f1-02301905_1-1-1,2014-12-09,PEA,1.0526,1.0716050000000001,0.039966947562152404,1.1115719475621526,1.0316380524378477,1.1515388951243049,0.9916711048756953
245,2015-000003348 SilverCrest Mines Inc-f1-02330093_1-1-1,2014-12-31,PFS,1.0,1.070355,0.041415629094983905,1.1117706290949838,1.028939370905016,1.1531862581899677,0.9875237418100321
246,2015-000024464 Wellgreen Platinum Ltd-f1-02304935_1-2-1,2015-02-02,PEA,1.1111,1.0718825,0.04177087003323339,1.1136533700332334,1.0301116299667668,1.155424240066467,0.9883407599335333
247,2015-000020738 Centerra Gold Inc-f1-02322271_1-1-1,2015-02-05,PEA,1.0526,1.0731975,0.040250169533007404,1.1134476695330073,1.0329473304669927,1.1536978390660149,0.9926971609339852
248,2015-000029300 Rathdowney Resources Ltd-f1-02337292_2-2-1,2015-02-11,,1.14,1.075655,0.0412658295967454,1.1169208295967454,1.0343891704032546,1.1581866591934908,0.9931233408065092
249,2015-000000834 Agnico Eagle Mines Limited-f1-02319129_1-1-1,2015-02-11,FS,1.03,1.075895,0.04096303493113232,1.1168580349311323,1.0349319650688678,1.1578210698622646,0.9939689301377355
250,2015-000026555 Century Iron Mines Corporation-f1-02335584_1-1-1,2015-03-02,FS,1.25,1.0808950000000002,0.049115990137422814,1.130010990137423,1.0317790098625774,1.1791269802748459,0.9826630197251546
251,2015-000010633 Adriana Resources Inc-f1-02338952_1-1-1,2015-03-25,FS,1.1421,1.0844475,0.048246184849830606,1.1326936848498306,1.0362013151501694,1.1809398696996611,0.9879551303003388
