report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2755.775,2363.5853500000003,2077.673057751846,2595.4248927408107,1796.5905467536916,2832.0942167316207
2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,1873.927,2363.5853500000003,2077.673057751846,2595.4248927408107,1796.5905467536916,2832.0942167316207
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2645.544,2368.267725,2077.6730577518456,2595.4248927408107,1796.5905467536916,2832.0942167316207
2019-000007910 ABCOURT MINES INC-f1-02872804_2-1-1,2019-01-15,FS,2425.082,2339.58385,2041.6140426820714,2562.7232453723154,1734.1234384891427,2776.341843869631
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2072.3428,2339.58385,2041.6140426820714,2562.7232453723154,1734.1234384891427,2776.341843869631
2019-000031610 Nevada Zinc Corporation-f1-02970403_1-1-1,2019-06-27,PEA,2500.0,2348.9831625,2041.6140426820714,2562.7232453723154,1734.1234384891427,2776.341843869631
2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2500.0,2463.101925,2132.4908388102476,2686.782320540711,1775.0109463704953,2883.593909831422
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,2645.544,2498.9269999999997,2132.4908388102476,2686.7823205407108,1775.0109463704953,2883.593909831422
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2204.62,2498.9269999999997,2132.4908388102476,2686.7823205407108,1775.0109463704953,2883.593909831422
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2425.082,2498.9269999999997,2132.4908388102476,2686.7823205407108,1775.0109463704953,2883.593909831422
2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,2535.313,2505.216125,2213.107994449469,2696.900737179704,1924.1444263989383,2891.7299118594074
2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,2535.313,2505.216125,2213.107994449469,2696.900737179704,1924.1444263989383,2891.7299118594074
2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2645.544,2607.1798,2384.7782496095633,2800.4611275601055,2186.145258594127,3017.511014495212
2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,2515.0,2607.1798,2384.7782496095633,2800.4611275601055,2186.145258594127,3017.511014495212
2021-000037111 Kutcho Copper Corp. ( Desert Star Resources Ltd.)-f1-03321014_1-1-1,2021-11-08,FS,2535.313,2614.0692375,2384.7782496095633,2800.4611275601055,2186.145258594127,3017.511014495212
2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,3020.3294,2751.7662375,2621.537505981196,2982.856663288699,2469.6882900873916,3192.326604702397
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2645.544,2780.59355,2621.537505981196,2982.856663288699,2469.688290087392,3192.326604702397
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2535.313,2780.59355,2632.1586975877,3004.5298982339814,2482.6904295504,3227.432830842963
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2800.0,2780.59355,2632.1586975877,3004.5298982339814,2482.6904295504,3227.432830842963
2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,3086.468,2784.7272125,2645.058122313618,3041.6607910770485,2502.292929002235,3295.4982665290972
2023-000053453 Gold Resource Corporation-f1-06050160_2-1-1,2023-09-30,PEA,2755.775,2805.37895,2680.0958342245294,3130.7839722252033,2554.812718449059,3456.1889944504064
2024-000028186 Revival Gold Inc-f1-06219923_2-1-1,2023-09-30,FS,2755.775,2805.37895,2680.0958342245294,3130.7839722252033,2554.812718449059,3456.1889944504064
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,FS,2645.544,2805.37895,2680.0958342245294,3130.7839722252033,2554.812718449059,3456.1889944504064
2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,3086.468,2805.3789500000003,2680.0958342245294,3130.7839722252033,2554.8127184490586,3456.188994450407
2024-000031923 Rokmaster Resources Corp-f1-06083588_1-1-1,2023-12-29,PEA,2777.8212,2784.7106375000003,2675.1595084001965,3125.017547914867,2550.1071449253927,3449.8232239547347
2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-03-28,FS,2645.544,2853.6331375,2718.6764439228764,3153.9842730894493,2611.284531595753,3481.9001899288987
2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024-05-15,PEA,2689.6364,2832.964825,2739.77557925543,3174.066606660049,2641.41925538586,3510.0013101950967
2024-000007638 Southern Silver Exploration Corp-f1-06158987_1-1-1,2024-06-04,PEA,2755.775,2832.964825,2739.7763696432185,3178.1857234718427,2646.587914286436,3523.406621943685
2024-000032350 Atico Mining Corporation-f1-06168420_2-1-1,2024-07-02,FS,3306.93,2832.964825,2739.7763696432185,3178.1857234718427,2646.5879142864364,3523.4066219436854
2024-000045314 Vizsla Silver Corp-f1-06174675_2-1-1,2024-07-24,PEA,2976.237,2832.964825,2742.2939191648857,3174.566881839131,2651.967485204771,3516.513410553261
2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024-09-05,PEA,2756.0,2831.5869375,2739.5035646590127,3151.459777012125,2645.6978324430247,3469.61025714925
2024-000030449 Silver Tiger Metals Inc-f1-06217254_1-1-1,2024-10-22,PFS,2755.775,2835.7205999999996,2739.5035646590127,3151.459777012125,2645.6978324430247,3469.61025714925
2025-000025425 Blue Moon Metals Inc-f1-06337712_3-1-1,2025-03-03,PEA,2755.775,2771.8588999999997,2681.242152823551,3036.3433640171006,2581.062917012809,3291.2653393999094
2025-000025425 Blue Moon Metals Inc-f1-06269952_2-1-1,2025-03-03,PEA,2755.775,2771.8588999999997,2681.242152823551,3036.3433640171006,2581.062917012809,3291.2653393999094
2025-000008811 Foran Mining Corporation-f1-06252011_1-1-1,2025-03-12,FS,2667.5902,2771.8589,2681.242152823551,3036.3433640171006,2581.0629170128086,3291.2653393999094
2025-000029200 Silver X Mining Corp-f1-06348374_1-1-1,2025-05-31,PEA,2717.95,2810.1088545371713,2690.460226617379,3046.7822709108455,2589.9365759661723,3302.5806645531065
2025-000053244 Canadian Copper Inc-f1-06307870_1-1-1,2025-07-07,PEA,2866.006,2810.1088545371713,2714.336634213402,3073.820847670653,2612.92088947649,3331.8893163909943
2025-000020943 Cornish Metals Inc-f1-06343317_1-3-1,2025-09-29,PEA,2900.0,2870.9329067269086,2714.336634213402,3073.820847670653,2612.92088947649,3331.8893163909943
