report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017-07-25,PEA,2234.64,2110.333514285714,1938.903174914433,2308.267137214724,1767.4728355431523,2506.200760143734
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1844.0,2110.333514285714,1938.903174914433,2308.267137214724,1767.4728355431523,2506.200760143734
"2018-000014867 LeadFX Inc. (, Ivernia Inc.)-f1-02756317_1-1-1",2018-02-28,FS,2250.0,2113.4829714285715,1970.732938567552,2346.1605185740323,1796.4883342779613,2547.343494290922
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2425.082,2160.7248285714286,1970.732938567552,2346.1605185740323,1796.4883342779613,2547.3434942909216
2018-000023055 Rockhaven Resources Ltd-f1-02802389_1-1-1,2018-06-05,PEA,1763.696,2160.7248285714286,1985.1633478802994,2361.2912975581035,1809.60186718917,2561.857766544778
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018-08-30,FS,2204.62,2160.724828571428,1985.1633478802994,2361.2912975581035,1809.60186718917,2561.857766544778
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019-01-21,PEA,2403.0358,2127.2048285714286,1969.130883294855,2340.740517391043,1788.7102713516151,2531.9295395439913
2020-000048037 Tethyan Resource Corp-f1-03084677_1-1-1,2020-04-30,PEA,2000.0,2074.605942857143,1876.0880957447334,2226.5182956415138,1706.9651819656574,2407.825581759218
2020-000021551 ScoZinc Mining Ltd-f1-03088581_2-1-1,2020-07-06,PFS,1984.158,2030.5135428571427,1857.3376502748276,2201.4758537836447,1684.161757692512,2372.438164710147
2020-000023055 Rockhaven Resources Ltd-f1-03086606_1-1-1,2020-07-10,PEA,2094.389,2030.5135428571427,1857.3376502748276,2201.4758537836447,1684.161757692512,2372.438164710147
2020-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-03119913_1-1-1,2020-08-20,FS,2204.62,2030.5135428571427,1857.3376502748276,2201.4758537836447,1684.161757692512,2372.438164710147
2021-000043356 Titan Mining Corporation-f1-03191352_2-1-1,2021-02-24,PEA,1918.0194,2026.2278285714285,1887.8137908740189,2173.1398166247723,1747.9711817480377,2318.623233249544
2022-000043356 Titan Mining Corporation-f1-03353194_1-1-1,2021-02-24,PEA,1918.0194,2026.2278285714285,1887.8137908740189,2173.1398166247723,1747.9711817480377,2318.623233249544
2021-000003851 Salazar Resources Limited-f1-03291760_1-2-1,2021-10-26,FS,2094.389,2045.1245714285712,1923.3042756646946,2146.1450889593048,1807.7828941865325,2253.4645207757526
2021-000043280 Steppe Gold Ltd-f1-03313510_2-1-1,2021-10-27,FS,1970.0,2045.1245714285712,1923.3042756646946,2146.1450889593048,1807.7828941865325,2253.4645207757526
2022-000015420 Osisko Metals Incorporated-f1-03429014_2-1-1,2022-08-01,PEA,2116.4352,2071.404742857143,1990.763528114657,2209.422292568459,1887.7775514674097,2325.0950803750125
2023-000030584 Atalaya Mining plc-f1-03508573_1-1-1,2022-10-31,PEA,2094.389,2104.9218857142855,2017.6585604356294,2226.575811415281,1930.3952351569735,2348.2297371162763
2024-000103253 Emerging Goldfields Resources Ltd-f1-1_1-.pdf (855b9b53b00f0ef4),2023-01-15,PFS,1920.0,2104.9218857142855,2017.6585604356294,2226.575811415281,1930.3952351569735,2348.2297371162763
2023-000033050 Trilogy Metals Inc-f1-03491294_1-1-1,2023-01-20,FS,2204.62,2104.9218857142855,2017.6585604356294,2226.575811415281,1930.3952351569735,2348.2297371162763
2023-000020073 CERRO DE PASCO RESOURCES INC. ( Genius Properties Ltd.)-f1-03518451_1-1-1,2023-01-31,PEA,2100.0,2104.9218857142855,2017.6585604356294,2226.575811415281,1930.3952351569735,2348.2297371162763
2023-000029249 GoGold Resources Inc-f1-03557381_1-1-1,2023-05-17,PEA,2204.62,2133.2670000000003,2020.506582467401,2242.5569385227877,1926.642907791945,2370.7436199027175
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2023-09-30,FS,2094.389,2138.4813999999997,2031.3371603837556,2281.4754205594077,1924.1929207675112,2424.4694411188157
2024-000028186 Revival Gold Inc-f1-06219923_2-1-1,2023-09-30,FS,2314.851,2138.4813999999997,2031.3371603837556,2281.4754205594077,1924.1929207675112,2424.4694411188157
2023-000030449 Silver Tiger Metals Inc-f1-06064060_2-1-1,2023-10-27,PEA,2094.389,2138.4813999999997,2031.3371603837556,2281.4754205594077,1924.1929207675112,2424.4694411188157
2024-000031923 Rokmaster Resources Corp-f1-06083588_1-1-1,2023-12-29,PEA,1984.158,2138.4814,2031.3371603837556,2281.4754205594077,1924.1929207675112,2424.469441118816
2024-000007580 Discovery Silver Corp-f1-06085725_1-4-1,2024-03-28,FS,2204.62,2154.1731142857143,2060.4122705716436,2322.3627521033486,1966.6514268575731,2490.552389920983
2024-000052252 Silver Mountain Resources Inc-f1-06149229_2-1-1,2024-05-15,PEA,2072.3428,2154.173114285714,2060.4122705716436,2322.3627521033486,1966.6514268575731,2490.552389920983
2024-000007638 Southern Silver Exploration Corp-f1-06158987_1-1-1,2024-06-04,PEA,2204.62,2154.173114285714,2055.7637668539614,2333.1779281720483,1957.3544194222084,2512.182742058382
2024-000045314 Vizsla Silver Corp-f1-06174675_2-1-1,2024-07-24,PEA,2425.082,2154.173114285714,2051.397985713371,2342.6997297063845,1948.6228571410277,2531.2263451270546
2024-000006180 New Pacific Metals Corp-f1-06205411_2-1-1,2024-09-05,PEA,2094.0,2154.1731142857143,2037.0561567556458,2340.758167635726,1930.4373897017676,2537.8414114619277
2024-000030449 Silver Tiger Metals Inc-f1-06217254_1-1-1,2024-10-22,PFS,2094.389,2122.678542857143,2037.0561567556458,2340.758167635726,1930.4373897017676,2537.8414114619277
2025-000025425 Blue Moon Metals Inc-f1-06269952_2-1-1,2025-03-03,PEA,1984.158,2149.8212857142858,2042.8968204778732,2347.4696081951224,1935.972355241461,2545.117930675959
2025-000025425 Blue Moon Metals Inc-f1-06337712_3-1-1,2025-03-03,PEA,1984.158,2149.8212857142858,2042.8968204778732,2347.4696081951224,1935.972355241461,2545.117930675959
2025-000029200 Silver X Mining Corp-f1-06348374_1-1-1,2025-05-31,PEA,2041.88,2149.8212857142853,2115.617929834088,2431.032611659984,2004.8872685865165,2635.7166322383086
2025-000053244 Canadian Copper Inc-f1-06307870_1-1-1,2025-07-07,PEA,2425.082,2379.403201816405,2115.617929834088,2431.032611659984,2004.8872685865165,2635.7166322383086
