date,lead_price,lead_price_quarterly,lead_price_yearly,lead_price_5y,lead_price_3y,lead_price_price_floor,lead_price_floor_spot_3y,lead_price_floor_spot_5y
2010-12-01,2413.20238095238,2387.2424242424236,2148.1806437619075,1965.6201178269564,1986.8520219913257,1965.6201178269564,1986.8520219913257,1965.6201178269564
2011-01-01,2583.975,2454.05155122655,2167.499393761908,1987.717320207909,1985.801769466073,1985.801769466073,1985.801769466073,1987.717320207909
2011-02-01,2595.575,2530.9174603174597,2206.6493937619075,2009.852945207909,1972.0786543867082,1972.0786543867082,1972.0786543867082,2009.852945207909
2011-03-01,2624.02173913043,2601.190579710143,2245.0948647764003,2033.6884524542854,1961.2755301812665,1961.2755301812665,1961.2755301812665,2033.6884524542854
2011-04-01,2719.34722222222,2646.3146537842163,2282.361299961585,2059.50164689873,1958.0664252429951,1958.0664252429951,1958.0664252429951,2059.50164689873
2011-05-01,2419.6375,2587.6688204508832,2327.598635487901,2080.3706052320636,1963.720591909662,1963.720591909662,1963.720591909662,2080.3706052320636
2011-06-01,2524.98863636364,2554.6577861952865,2395.7406809424465,2106.39352189873,1982.1782788985988,1982.1782788985988,1982.1782788985988,2106.39352189873
2011-07-01,2681.02380952381,2541.8833152958164,2465.4955059785216,2133.5228869780954,2002.2055103225696,2002.2055103225696,2002.2055103225696,2133.5228869780954
2011-08-01,2393.05681818182,2533.02308802309,2491.350439239705,2153.7518642508226,2015.8223663831757,2015.8223663831757,2015.8223663831757,2153.7518642508226
2011-09-01,2287.67045454545,2453.917027417027,2499.25195439122,2169.4375623027704,2027.3602451710544,2027.3602451710544,2027.3602451710544,2169.4375623027704
2011-10-01,1960.38095238095,2213.7027417027402,2463.9880655023303,2176.682926660635,2040.3080252492687,1960.38095238095,1960.38095238095,1960.38095238095
2011-11-01,1994.21590909091,2080.7557720057703,2433.0912851993007,2182.819479690938,2059.9688838351276,1994.21590909091,1994.21590909091,1994.21590909091
2011-12-01,2024.5625,1993.0531204906201,2400.7046284532694,2188.07622311199,2089.313212538831,2024.5625,2024.5625,2024.5625
2012-01-01,2100.21428571429,2039.6642316017333,2360.3912355961265,2195.3407793890465,2115.849588200207,2100.21428571429,2100.21428571429,2100.21428571429
2012-02-01,2121.2619047619,2082.0128968253966,2320.8651443262847,2201.1105611350786,2144.22839111026,2121.2619047619,2121.2619047619,2121.2619047619
2012-03-01,2056.69318181818,2092.723124098123,2273.587764550264,2203.5724929532603,2166.733125958745,2056.69318181818,2056.69318181818,2056.69318181818
2012-04-01,2073.64473684211,2083.8666078073966,2219.779224101922,2205.063940321682,2185.6145769821364,2073.64473684211,2073.64473684211,2073.64473684211
2012-05-01,1999.25,2043.1959728867635,2184.746932435255,2203.284773655015,2200.9636266897387,1999.25,1999.25,1999.25
2012-06-01,1850.95789473684,1974.61754385965,2128.577703966355,2193.5233576149144,2206.07041164455,1850.95789473684,1850.95789473684,1850.95789473684
2012-07-01,1881.47727272727,1910.5617224880368,2061.948825899977,2173.6741151906717,2211.8342730850413,1881.47727272727,1881.47727272727,1881.47727272727
2012-08-01,1897.77272727273,1876.73596491228,2020.6751516575525,2153.383774281581,2211.965807175951,1897.77272727273,1897.77272727273,1897.77272727273
2012-09-01,2177.675,1985.6416666666667,2011.5088637787649,2135.8779409482477,2211.1935218224153,2135.8779409482477,2177.675,2135.8779409482477
2012-10-01,2141.96739130435,2072.4717061923598,2026.641067022382,2109.5339192091174,2208.812249863698,2109.5339192091174,2141.96739130435,2109.5339192091174
2012-11-01,2181.96590909091,2167.20276679842,2042.286900355715,2090.5681995121477,2205.437956333155,2090.5681995121477,2181.96590909091,2090.5681995121477
2012-12-01,2279.80263157895,2201.24531065807,2063.5569113206275,2084.9635211495747,2204.1473945119346,2084.9635211495747,2204.1473945119346,2084.9635211495747
2013-01-01,2334.46590909091,2265.41148325359,2083.077879935346,2080.1748847859385,2203.65616976446,2080.1748847859385,2203.65616976446,2080.1748847859385
2013-02-01,2365.7875,2326.685346889953,2103.4550128718543,2068.1112240716525,2210.3231836533487,2068.1112240716525,2210.3231836533487,2068.1112240716525
