report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,2425.082,2113.4422816825268,1898.788852553006,2313.8523639752866,1684.1354234234852,2514.2624462680465
2011b-000013503 Bear Creek Mining Corporation-f1-01843253_1-1-1,2011-12-22,FS,1873.927,2115.3472195022423,1900.5003138634152,2315.9379401538163,1685.653408224588,2516.5286608053907
2012-000006210 SILVERCORP METALS INC-f1-01856000_1-1-1,2012-01-23,,2204.62,2119.788644698367,1904.4906422130193,2320.8005296262345,1689.1926397276716,2521.812414554102
2012-000004927 LEVON RESOURCES LTD-f1-01871272_1-1-1,2012-03-12,PEA,2116.4352,2123.7896146441394,1908.0852504965178,2325.1808970710695,1692.3808863488962,2526.572179497999
2012-000008090 Huakan International Mining Inc-f1-01920382_1-1-1,2012-04-24,,2176.196212731668,2124.9371535625755,1909.1162387213121,2326.4372529518,1693.295323880049,2527.937352341025
2012-000002753 CANADIAN ZINC CORPORATION-f1-01942300_1-1-1,2012-06-15,,2645.544,2129.299313966174,1913.0353528694434,2331.2130612383035,1696.7713917727128,2533.1268085104325
2012-000006210 SILVERCORP METALS INC-f1-01984618_6-1-1,2012-06-27,,2204.62,2129.8637916842335,1913.5424989636879,2331.8310663353263,1697.221206243142,2533.798340986419
2012-000013727 MAG Silver Corp-f1-01932793_1-1-1,2012-07-01,,2094.389,2130.4470853262283,1914.0665499277402,2332.4696716022495,1697.686014529252,2534.492257878271
2013-000030715 Chieftain Metals Inc-f1-02009167_1-1-1,2012-12-12,,2226.6662,2133.242258200055,1916.5778288681593,2335.529900603003,1699.9133995362636,2537.8175430059514
2012-000031912 Sunshine Silver Mines Corporation-f1-02001215_1-2-1,2012-12-21,,1873.927,2132.454963170355,1915.8704960779423,2334.66794923513,1699.2860289855298,2536.880935299905
2013-000012585 Scorpio Mining Corporation-f1-02063975_1-1-1,2012-12-31,PEA,1984.158,2131.6414249729987,1915.139585528052,2333.777266154995,1698.6377460831054,2535.913107336991
2013-000009013 Apogee Silver Ltd-f1-02022833_1-1-1,2013-01-17,FS,1895.9732,2130.80076883573,1914.384311293165,2332.8568936388547,1697.9678537505997,2534.913018441979
2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2204.62,2129.589912895105,1913.296436889386,2331.531216611887,1697.0029608836671,2533.4725203286685
2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,2127.9617235887936,1911.833615911749,2329.7486320066387,1695.7055082347044,2531.5355404244833
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2204.62,2126.3686869125645,1910.4023772596465,2328.004533428154,1694.4360676067283,2529.640379943743
2013-000029631 Pan American Goldfields Ltd-f1-02088952_2-1-1,2013-07-24,PEA,2226.6662,2125.3522728399485,1909.4891960824793,2326.891736487786,1693.6261193250104,2528.4312001356234
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2403.0358,2124.301978298245,1908.5455755327403,2325.7418463160725,1692.7891727672352,2527.1817143338994
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2204.62,2123.0673989728552,1907.4363872284462,2324.3901963016256,1691.805375484037,2525.7129936303963
2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,2094.389,2121.9409419689155,1906.4243397169057,2323.15692145704,1690.907737464896,2524.372900945165
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2233.28006,2117.9264403912134,1902.817574152327,2318.7617392245957,1687.7087079134408,2519.5970380579774
2014-000003851 Salazar Resources Limited-f1-02173905_1-2-1,2014-03-21,PEA,2094.389,2117.9027997956287,1902.7963346324436,2318.735856876895,1687.6898694692588,2519.568913958161
2014-000002470 Fortune Minerals Limited-f1-02236003_2-1-1,2014-04-18,,2204.62,2117.878371180191,1902.7743871285643,2318.709111784271,1687.6704030769376,2519.539852388351
2014-000025411 Xtierra Inc-f1-02198936_1-1-1,2014-04-28,,2204.62,2117.769683315439,1902.6767382323596,2318.5901174426835,1687.58379314928,2519.410551569928
2014-000008301 Trevali Mining Corporation-f1-02208589_1-2-1,2014-05-13,,2204.62,2117.9612794839954,1902.8488747852239,2318.799881982451,1687.7364700864523,2519.638484480907
