report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2016-000030584 Atalaya Mining plc ( EMED Mining Public Limited)-f1-02537909_1-1-1,2016-04-30,PFS,6349.3056,6304.315718135416,5351.380341370723,6820.105014816495,4398.44496460603,7335.894311497574
2016-000019503 Panoro Minerals Ltd-f1-02498568_1-1-1,2016-05-02,PEA,6613.86,6303.291309851042,5350.510778582367,6818.996794291088,4397.7302473136915,7334.702278731134
2016-000033595 Ivanhoe Mines Ltd-f1-02490485_3-1-1,2016-05-12,,6614.0,6285.210985270325,5319.368680080236,6792.383311099667,4353.526374890147,7299.555636929008
2016-000003859 Asiamet Resources Limited ( Kalimantan Gold Corporation Limited)-f1-02486851_1-1-1,2016-05-19,PEA,7165.014999999999,6285.754372557112,5334.2762639335015,6797.628991004015,4382.79815530989,7309.503609450918
2016-000024066 AQM Copper Inc-f1-02506315_1-1-1,2016-06-01,PFS,6613.86,6256.297181416971,5309.278024074331,6765.772980632056,4362.258866731692,7275.248779847139
2016-000036217 Heron Resources Limited-f1-02509900_1-1-1,2016-07-19,FS,6613.86,6243.285803874536,5298.236185931768,6751.702033542315,4353.186567988999,7260.118263210094
2016-000000204 GoldQuest Mining Corp-f1-02552025_1-1-1,2016-09-27,,5511.549999999999,6236.589543425179,5279.437280444976,6739.740598240709,4322.285017464774,7242.89165305624
2016-000032329 Copper North Mining Corp-f1-02557849_2-1-1,2016-10-12,PEA,5511.549999999999,6231.533162778599,5279.535432712338,6715.103093852403,4327.537702646076,7198.673024926206
2016-000030617 K92 Mining Inc-f1-02541048_1-4-1,2016-11-25,,4800.0,6230.840125075049,5281.741055442879,6712.7248328154365,4332.641985810707,7194.609540555824
2017-000025928 Excelsior Mining Corp-f1-02563670_1-3-1,2016-12-17,,6062.705,6236.617729569248,5308.259356692835,6701.719533945185,4379.900983816423,7166.821338321121
