report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2016-000002429 Radisson Mining Resources Inc-f1-02439942_1-2-1,2015-11-29,,1.25,1.2155077807838943,1.0988074438786288,1.318873395426017,0.9821071069733633,1.42223901006814
2016-000016002 Gold Reach Resources Ltd-f1-02457915_1-1-1,2016-01-01,PEA,1.25,1.2241841592691465,1.1041251722236176,1.3219182007077162,0.9840661851780889,1.419652242146286
2016-000022947 Kaminak Gold Corporation-f1-02434651_1-2-1,2016-01-06,FS,1.1494,1.2237640756892287,1.1037462873544477,1.3214645793094104,0.9837284990196664,1.4191650829295923
2016-000023396 Plateau Uranium Inc-f1-02438046_1-2-1,2016-01-12,PEA,1.2611,1.2233299893233145,1.1020925130639387,1.318781689257288,0.980855036804563,1.4142333891912615
2016-000002894 Abacus Mining & Exploration Corporation-f1-02446208_1-1-1,2016-02-19,FS,1.2,1.2322638770162329,1.1102611783093037,1.3226570624598621,0.9882584796023747,1.4130502479034912
2016-000037284 Continental Gold Inc-f1-02446260_1-2-1,2016-02-24,,1.3333,1.231850672916774,1.1073586750624052,1.320957245942867,0.9828666772080362,1.41006381896896
2016-000023055 Rockhaven Resources Ltd-f1-02450368_2-1-1,2016-02-26,PEA,1.3333,1.2357471839021337,1.110861400950355,1.3251356131209435,0.9859756179985762,1.4145240423397532
2016-000033407 Benton Resources Inc-f1-02472165_1-1-1,2016-03-07,PEA,1.25,1.2353945344766495,1.1105443906104238,1.3247574546118703,0.9856942467441983,1.4141203747470912
2016-000002563 SEMAFO INC-f1-02459263_1-1-1,2016-03-23,FS,1.39,1.2436557164547788,1.117970689699168,1.3336162135783476,0.9922856629435572,1.4235767107019164
2016-000022162 Golden Dawn Minerals Inc-f1-02487437_2-1-1,2016-03-24,,1.2048,1.2433281292254934,1.1161173774609552,1.3312595319334537,0.9889066256964169,1.4191909346414138
2016-000008288 Denison Mines Corp-f1-02484220_1-1-1,2016-03-31,,1.35,1.2429896224218988,1.115632725603807,1.3283737834441327,0.9882758287857154,1.4137579444663664
2016-000029998 Falco Resources Ltd. ( Falco Pacific Resource Group Inc.)-f1-02500830_2-1-1,2016-04-28,,1.3333,1.264149016811118,1.1305497742941415,1.344744476314805,0.996950531777165,1.4253399358184922
2016-000014472 ATAC Resources Ltd-f1-02507566_1-1-1,2016-05-31,PEA,1.2821,1.2677983904619348,1.1296481431261725,1.342626584733904,0.9914978957904103,1.4174547790058736
2016-000024066 AQM Copper Inc-f1-02506315_1-1-1,2016-06-01,PFS,1.15,1.2674082256995547,1.129300494081457,1.3422133916060859,0.9911927624633594,1.417018557512617
2016-000019932 New Millennium Iron Corp-f1-02509255_1-1-1,2016-06-09,PFS,1.35,1.2670050554450956,1.1289412567352513,1.3417864253740075,0.9908774580254069,1.4165677953029192
2016-000009080 Klondex Mines Ltd-f1-02545180_2-1-1,2016-06-30,,1.25,1.2697289921076864,1.1266639692473006,1.3366352184202892,0.9835989463869148,1.403541444732892
2016-000023243 Peregrine Diamonds Ltd-f1-02520978_2-1-1,2016-07-07,PEA,1.28,1.2722448102629234,1.1277416884216114,1.3395923101929144,0.9832385665802994,1.4069398101229054
2016-000008335 Gensource Potash Corporation-f1-02494168_2-2-1,2016-07-15,,1.31,1.2718188594939097,1.127275640194355,1.3368875392891562,0.9827324208948004,1.4019562190844028
2016-000000204 GoldQuest Mining Corp-f1-02552025_1-1-1,2016-09-27,,1.28,1.2819691958782202,1.1702180748806372,1.347650506432453,1.058466953883054,1.413331816986686
2016-000032329 Copper North Mining Corp-f1-02557849_2-1-1,2016-10-12,PEA,1.2821,1.286238240513531,1.1796837720319642,1.3497106850315237,1.0731293035503973,1.4131831295495163
2016-000007482 Avalon Advanced Materials Inc-f1-02551917_1-1-1,2016-10-21,PEA,1.3,1.2882624751592051,1.1810395232914945,1.3501251111054982,1.0738165714237837,1.4119877470517914
2017-000009025 IAMGOLD Corporation-f1-02583085_1-1-1,2016-12-09,PEA,1.3514,1.2952553637229576,1.1997349697164943,1.3527846318053796,1.104214575710031,1.4103138998878018
2017-000030076 Dalradian Resources Inc-f1-02565362_1-2-1,2016-12-12,,1.3333,1.2951860980692784,1.1996708121540194,1.3527122896908952,1.1041555262387601,1.410238481312512
2017-000003878 Resource Capital Gold Corp-f1-02576168_1-1-1,2016-12-30,,1.33,1.298666134506924,1.2146025045693694,1.347854162070224,1.130538874631815,1.397042189633524
2017-000011133 Kirkland Lake Gold Ltd-f1-02604315_1-1-4,2016-12-31,,1.25,1.2984504501015992,1.214400781576875,1.3476303084440409,1.1303511130521506,1.3968101667864825
2017-000011133 Kirkland Lake Gold Ltd-f1-02604315_1-1-1,2016-12-31,,1.25,1.2984504501015992,1.214400781576875,1.3476303084440409,1.1303511130521506,1.3968101667864825
2018-000033313 MGX Minerals Inc-f1-02757379_1-1-1,2016-12-31,PEA,1.2987,1.2984504501015992,1.214400781576875,1.3476303084440409,1.1303511130521506,1.3968101667864825
