report_id,effective_date,report_type,cad_rate,knn_mean,band1_low,band1_high,band2_low,band2_high
2013-000008311 AUGYVA MINING RESOURCES INC-f1-02055877_1-1-1,2013-03-22,PEA,1.0526,1.0294026945865975,0.9993022777219326,1.083023000946306,0.9692018608572677,1.1366433073060145
2013-000004818 New Gold Inc-f1-02090330_2-1-1,2013-04-10,FS,1.07,1.030334572509078,0.9988487093996322,1.0835991397711557,0.9673628462901864,1.1368637070332333
2013-000007482 Avalon Rare Metals Inc-f1-02142596_1-1-1,2013-04-17,,1.0526,1.0302453331229222,0.9987621970685239,1.0835052870318105,0.9672790610141254,1.1367652409406985
2013-000026555 Century Iron Mines Corporation-f1-02058564_3-1-1,2013-05-08,PEA,1.0,1.0300008476502758,0.9976035774609007,1.083975454367259,0.9652063072715255,1.1379500610842426
2013-000001146 Moss Lake Gold Mines Ltd-f1-02110849_2-1-1,2013-05-31,PEA,1.0033,1.030073440945087,0.9960012854586066,1.082592794999726,0.9619291299721262,1.1351121490543652
2013-000026979 El Tigre Silver Corp-f1-02097813_1-1-1,2013-06-01,PFS,1.0,1.0296525039372424,0.9955942719542824,1.0821503960855057,0.9615360399713225,1.1346482882337692
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,1.0,1.029989351284123,0.9959199772653412,1.0825044179408922,0.9618506032465595,1.1350194845976613
2013-000025789 Cap-Ex Iron Ore Ltd-f1-02092220_1-1-1,2013-06-27,PEA,1.0,1.0305412327856838,0.9958416340676637,1.0822019145783806,0.9611420353496437,1.1338625963710776
2013-000030716 Royal Nickel Corporation-f1-02087466_1-2-1,2013-07-25,FS,1.1111,1.033246731883377,0.9985518810360854,1.087928298395423,0.9638570301887938,1.1426098649074692
2013-000030716 Royal Nickel Corporation-f1-02087466_1-1-1,2013-07-25,FS,1.1111,1.033246731883377,0.9985518810360854,1.087928298395423,0.9638570301887938,1.1426098649074692
2013-000033663 Appia Energy Corp-f1-02096631_1-1-1,2013-07-30,,1.1111,1.0335562650095735,0.9982814483440108,1.0890400521748018,0.9630066316784479,1.1445238393400299
2013-000013198 Nevada Copper Corp-f1-02132890_1-1-1,2013-08-22,FS,1.0,1.0349231743748912,0.9984213169930163,1.0888475749303714,0.9619194596111412,1.1427719754858519
2013-000010461 Rockex Mining Corporation ( Enviropave International Ltd.)-f1-02120475_1-1-1,2013-08-27,PEA,1.0526,1.035384691133501,0.9988665560033646,1.0893331388986394,0.9623484208732282,1.1432815866637775
2013-000010148 Matamec Explorations Inc-f1-02122328_1-1-1,2013-09-04,FS,1.0,1.035873447216852,0.9993380736043911,1.0898473614895199,0.9628026999919301,1.1438212757621877
2013-000025437 West Kirkland Mining Inc-f1-02112513_1-1-1,2013-09-13,PEA,1.0,1.036387806579797,0.9998342914544446,1.0903885214121618,0.9632807763290924,1.1443892362445267
2018-000039713 BlackRock Metals Inc-f1-02755090_1-1-1,2013-09-20,FS,1.05,1.0365018016566883,0.9999442659120843,1.0905084561726355,0.9633867301674803,1.1445151106885825
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,1.0,1.0366613888742864,0.9991486400629902,1.0901530056738453,0.961635891251694,1.143644622473404
2013-000031410 Flinders Resources Limited-f1-02110081_1-2-1,2013-10-11,PEA,1.0314,1.0367739519682055,0.9978464038783622,1.0893411300282836,0.9589188557885189,1.1419083080883619
2013-000003556 Arianne Phosphate Inc-f1-02134296_1-1-1,2013-10-15,FS,1.05,1.037991972737978,0.9990186918613496,1.0906209076685525,0.9600454109847212,1.1432498425991267
2013-000026016 Quest Rare Minerals Ltd-f1-02144994_1-1-1,2013-10-23,PFS,1.05,1.0381384450338798,0.9971202314160952,1.0958312517993916,0.9561020177983106,1.1535240585649034
2013-000018439 Endeavour Mining Corporation-f1-02143581_3-1-1,2013-10-31,FS,1.0,1.0405927274210975,0.9994775418823528,1.0984219268230548,0.9583623563436082,1.1562511262250121
2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,1.0417,1.0456228302656603,1.0062296333517453,1.1088143616360453,0.9668364364378305,1.1720058930064305
2014-000024639 Carlisle Goldfields Limited-f1-02156870_1-1-1,2013-12-02,PEA,1.0204,1.0498236510981083,1.0091165781028033,1.1134701460212255,0.9684095051074981,1.1771166409443428
2013-000030431 Northern Graphite Corporation-f1-02144783_1-1-1,2013-12-06,PEA,1.05,1.0494398869692667,1.0109037990785792,1.1222257888196676,0.9723677111878914,1.1950116906700687
2014-000026380 Confederation Minerals Ltd-f1-02290902_1-1-1,2013-12-17,PEA,1.01,1.0521316558123401,1.013496724489069,1.1251042504168938,0.9748617931657979,1.1980768450214474
2014-000025546 Argonaut Gold Inc-f1-02160128_1-1-1,2013-12-17,PFS,1.05,1.0521316558123401,1.013496724489069,1.1251042504168938,0.9748617931657979,1.1980768450214474
