report_id,effective_date,report_type,cu_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,4409.24,4755.86355168452,3707.8998907556925,5780.040646416054,2659.9362298268657,6804.217741147588
2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,4409.24,4755.373840175426,3674.4135199769007,5830.9711172717925,2593.4531997783747,6906.56839436816
2009-000008808 Aura Minerals Inc-f1-01483612_5-1-1,2009-09-30,PEA,4409.24,4754.81416987932,3673.9810702533123,5830.284857591382,2593.1479706273044,6905.755545303446
2009-000007586 International PBX Ventures Ltd-f1-01516184_1-1-1,2009-12-13,PEA,4409.24,5102.8288803363,3923.4849983482995,6253.7627302823585,2744.141116360299,7404.696580228418
2010-000003295 Tri Origin Exploration Ltd-f1-01524409_1-1-1,2009-12-15,FS,5511.549999999999,5096.47014800339,3918.5958689062318,6245.9697973410575,2740.7215898090735,7395.469446678726
2010-000004818 New Gold Inc-f1-01544679_1-1-1,2009-12-31,,4409.24,5166.73946460479,3931.8247524133403,6266.7445310313515,2696.9100402218905,7366.749597457912
2010-000002968 Kinross Gold Corporation-f1-01592433_2-2-1,2010-02-18,FS,4409.24,5314.19807494354,4049.6288631474417,6383.846984805787,2785.0596513513437,7453.495894668034
2010-000009151 LIBERTY MINES INC-f1-01542198_2-1-1,2010-02-26,,5952.474,5362.243940230028,4097.2735174082745,6410.80617799307,2832.3030945865207,7459.368415756113
2010-000008502 Entree Gold Inc-f1-01595887_2-1-1,2010-03-30,PFS,4409.24,5371.115668871874,4339.908017505925,6585.146056590798,3308.7003661399763,7799.176444309724
2010-000003181 Inmet Mining Corporation-f1-01555466_1-2-1,2010-03-31,FS,4629.702,5379.328814444897,4346.54431032082,6595.215615043216,3313.7598061967437,7811.102415641534
2010-000018939 Carpathian Gold Inc-f1-01585312_1-1-1,2010-04-23,PEA,4960.395,5467.508254303245,4443.145883796158,6650.60801105555,3418.7835132890723,7833.707767807856
2011a-000026050 Josephine Mining Corp. ( Green Park Capital Corp.)-f1-01717587_1-1-1,2010-05-17,,4409.24,5549.04377839259,4522.222840916979,6711.316940510562,3495.401903441369,7873.590102628533
2010-000002331 Orsu Metals Corporation-f1-01585902_3-1-1,2010-05-25,PEA,6613.86,5556.39468863915,4528.213504452194,6720.207533275032,3500.032320265237,7884.020377910914
2010-000002178 Silver Standard Resources Inc-f1-01592513_3-1-1,2010-06-01,PEA,6503.629,5555.347357492363,4527.359976344801,6718.940833723095,3499.3725951972388,7882.534309953828
2010-000009542 Bravo Gold Corp-f1-01601622_2-1-1,2010-06-28,,7165.014999999999,5658.557602551061,4567.777245596612,6833.664752815128,3476.996888642164,8008.771903079195
2010-000027268 PCI-1 Capital Corp-f1-01660906_1-1-1,2010-07-01,,5511.549999999999,5654.677977201213,4564.645482055585,6828.979449444631,3474.6129869099564,8003.280921688049
2010-000003958 OPAWICA EXPLORATIONS INC-f1-01622819_1-1-1,2010-08-16,PEA,6283.167,5775.053245678896,4608.875601087689,6957.648440131896,3442.6979564964813,8140.243634584896
2010-000008329 Antares Minerals Inc. ( Planet Ventures Inc.)-f1-01632733_2-1-1,2010-09-02,PEA,4960.395,5826.597815621045,4657.759999129048,7016.439688038042,3488.9221826370504,8206.28156045504
2010-000022586 Donner Metals Ltd-f1-01646195_1-1-1,2010-09-21,,5511.549999999999,5839.315402755635,4642.29736186642,7028.617714318644,3445.279320977206,8217.920025881653
2010-000003851 Salazar Resources Limited-f1-01641644_1-2-1,2010-09-24,,7165.014999999999,5841.1190755302505,4643.731294576977,7030.788743889767,3446.343513623704,8220.458412249285
2010-000025297 Sandstorm Resources Ltd-f1-01643054_3-1-1,2010-10-05,,6613.86,5856.787057224798,4629.003486333671,7050.238690109246,3401.2199154425443,8243.690322993692
2011a-000010750 Geologix Explorations Inc-f1-01696761_1-8-1,2010-10-08,PEA,6062.705,5889.9698298348585,4655.230010978904,7090.183196374323,3420.4901921229493,8290.39656291379
2010-000005208 SOHO Resources Corp-f1-01651891_1-1-1,2010-10-29,PEA,6437.4904,5944.8445013897235,4703.714083280673,7138.855422031675,3462.583665171621,8332.866342673626
2011a-000024683 Ventana Gold Corp-f1-01648578_1-19-1,2010-11-08,,6613.86,5991.080264036417,4740.297009522332,7194.37755129594,3489.5137550082463,8397.674838555464
2010-000030584 EMED Mining Public Limited-f1-01647178_1-25-2,2010-11-17,PFS,5511.549999999999,5992.43627774785,4741.369922495933,7196.005917829992,3490.303567244015,8399.575557912132
2010-000003985 Minera Andes Inc-f1-01677470_1-1-1,2010-12-01,PEA,6613.86,5987.056489438632,4771.437205561164,7149.892122423316,3555.817921683697,8312.727755408001
2010-000002929 Breakwater Resources Ltd-f1-01673123_2-1-1,2010-12-03,,5864.2892,5986.34510316796,4770.870260030351,7149.042567203376,3555.395416892744,8311.740031238793
2011a-000005689 Capstone Mining Corp-f1-01723434_2-1-1,2010-12-15,PFS,6062.705,5985.532090287192,4760.622984427453,7094.860386795601,3535.7138785677143,8204.18868330401
2011a-000011551 TintinaGold Resources Inc-f1-01689809_1-1-1,2010-12-20,,6062.705,5978.246863507098,4754.8286427493995,7086.224952867382,3531.4104219917003,8194.203042227666
2011a-000002432 Pan American Silver Corp-f1-01687065_1-1-1,2011-01-14,PEA,6500.0,5954.204999566034,4790.569857075359,7004.835910043075,3626.9347145846846,8055.466820520118
2011a-000005795 Bard Ventures Ltd-f1-01704876_1-1-1,2011-01-21,PEA,6613.86,5949.088646670521,4775.250517015999,6988.362905612157,3601.4123873614785,8027.637164553794
"2011a-000023256 Mines Management, Inc-f1-01693687_1-1-1",2011-02-03,,6834.322,5944.80198866563,4771.809676398239,6983.327391171272,3598.8173641308485,8021.852793676913
2011a-000020823 Equinox Minerals Limited-f1-01709025_1-1-1,2011-03-07,FS,4409.24,5994.245191369319,4940.469656071697,7100.289825684858,3886.694120774073,8206.334460000398
2011a-000000923 Barrick Gold Corporation-f1-01723131_1-1-2,2011-03-30,FS,7716.17,6049.258470767541,4985.811718144706,7165.454031605425,3922.364965521871,8281.64959244331
2011a-000018190 Chesapeake Gold Corp-f1-01733412_1-1-1,2011-04-21,PEA,7716.17,6114.7024104608,5016.845032501676,7242.406482695886,3918.987654542551,8370.110554930972
2011a-000000880 NovaGold Resources Inc-f1-01743319_1-1-1,2011-05-09,,5511.549999999999,6109.655046240915,5064.812691640356,7211.581446939854,4019.970337039798,8313.507847638793
2011b-000004187 Mediterranean Resources Ltd-f1-01789335_1-1-1,2011-06-14,PEA,6062.705,6169.963900114655,5124.434522178559,7220.104491774928,4078.9051442424616,8270.245083435202
2011b-000031165 Mawson West Ltd-f1-01770009_1-1-1,2011-06-30,FS,5511.549999999999,6164.937391559606,5120.259779119683,7214.222461088238,4075.58216667976,8263.50753061687
2011b-000000880 NovaGold Resources Inc-f1-01801094_1-1-1,2011-07-11,PFS,5842.243,6211.705425958471,5180.142102127921,7252.817230246914,4148.578778297371,8293.929034535355
2011b-000001913 Northgate Minerals Corporation-f1-01800614_1-1-1,2011-07-22,,6172.936,6258.744967220045,5219.369897305645,7307.740825615605,4179.994827391245,8356.736684011164
2011b-000030669 Ivanhoe Australia Limited-f1-01816075_1-1-1,2011-09-30,PEA,6613.86,6451.624288267152,5402.8629662711755,7510.578125881488,4354.101644275199,8569.531963495823
2011b-000030669 Ivanhoe Australia Limited-f1-01816075_1-1-2,2011-10-10,,8818.48,6456.592503733888,5396.047618091775,7495.676022394508,4335.5027324496605,8534.75954105513
2011b-000011375 Thundermin Resources Inc-f1-01840639_2-1-1,2011-11-01,,8267.324999999999,6507.458241139439,5456.790248490458,7495.515300871895,4406.1222558414765,8483.57236060435
"2011b-000023134 General Moly, Inc-f1-01825783_1-1-1",2011-11-11,PFS,5511.549999999999,6512.8530517784075,5461.314034736379,7501.729230211318,4409.775017694351,8490.605408644231
2011b-000006077 Stratabound Minerals Corp-f1-01836274_1-1-1,2011-11-23,PEA,7980.7244,6550.824694945492,5493.154929364545,7545.466281116819,4435.485163783596,8540.107867288145
2012-000033030 Intergeo MMC Ltd-f1-01908033_1-1-1,2011-12-01,PEA,6062.705,6580.558631785245,5547.473064115683,7563.7681891995635,4514.387496446121,8546.977746613884
2012-000032889 Newcrest Mining Limited-f1-01866663_1-1-1,2011-12-31,,5070.625999999999,6626.973498098448,5625.517673992363,7569.150647659164,4624.061849886277,8511.32779721988
2012-000002894 Abacus Mining & Exploration Corp-f1-01846955_1-1-1,2012-01-06,FS,6062.705,6626.201208494653,5624.862091347157,7568.268559273504,4623.522974199662,8510.335910052356
2012-000009698 Virgin Metals Inc-f1-01912517_1-1-1,2012-01-10,PEA,5511.549999999999,6621.644225137934,5620.9937507810355,7563.0636956150365,4620.343276424136,8504.483166092139
