report_id,effective_date,report_type,pb_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02805626_4-1-1,2017-07-31,,2226.6662,2136.3780229031468,1938.1211018090469,2326.5369353368596,1739.864180714947,2516.695847770573
2018-000003031 Sierra Metals Inc. ( Dia Bras Exploration Inc.)-f1-02728178_1-1-1,2017-08-31,,2050.2966,2136.3760258177354,1938.1749428185947,2326.7382225206384,1739.973859819454,2517.100419223541
2018-000043280 Steppe Gold Ltd-f1-02689951_1-27-1,2017-09-06,FS,1844.0,2139.744249267923,1941.2306812345266,2330.4065721692177,1742.7171132011304,2521.068895070512
2017-000013727 MAG Silver Corp-f1-02710844_1-1-1,2017-10-21,,2094.389,2144.6354391971076,1955.6065998557845,2330.236219726784,1766.5777605144613,2515.8370002564607
2018-000003827 Arizona Mining Inc-f1-02718639_1-1-1,2018-01-01,,2204.62,2160.1033269235763,1973.80464990062,2344.249168152748,1787.5059728776637,2528.3950093819194
"2018-000014867 LeadFX Inc. (, Ivernia Inc.)-f1-02756317_1-1-1",2018-02-28,FS,2250.0,2169.1845857509875,1984.463869630013,2356.7802949627653,1799.7431535090386,2544.3760041745427
2018-000031478 Lupaka Gold Corp-f1-02756702_1-1-1,2018-03-01,,2314.851,2169.4582808582713,1984.7142577506308,2357.0776598066386,1799.9702346429904,2544.6970387550055
2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018-03-30,,2346.4,2169.7710752665957,1985.0004156027655,2357.4175053424938,1800.2297559389353,2545.063935418392
2018-000003353 Excellon Resources Inc-f1-02820544_1-1-1,2018-03-31,,2425.082,2170.128554590395,1985.3274531480624,2357.805900240614,1800.5263517057294,2545.483245890833
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018-05-14,PEA,2425.082,2172.610549018988,1987.598088989991,2360.5025428407594,1802.585628960994,2548.394536662531
2018-000003467 Aurcana Corporation-f1-02825402_2-1-1,2018-06-15,,2204.62,2172.6800447239407,1987.6616666663579,2360.5780486824906,1802.6432886087753,2548.4760526410405
