report_id,effective_date,report_type,zn_price_usd_dmt,knn_mean,band1_low,band1_high,band2_low,band2_high
2013-000026723 Southeast Asia Mining Corp-f1-02065996_1-1-1,2013-03-31,,2094.389,2122.7478054021117,1855.0730407688677,2579.918177345367,1587.3982761356237,3037.0885492886223
2013-000005760 Sunridge Gold Corp-f1-02080601_3-1-1,2013-05-16,FS,2204.62,2120.9364576437697,1853.4901007769356,2577.716724589016,1586.0437439101015,3034.4969915342626
2013-000023995 Arian Silver Corporation-f1-02065398_1-1-1,2013-05-23,,1984.158,2120.946211032981,1853.4986242809223,2577.728578538907,1586.0510375288634,3034.510946044834
2013-000008209 El Nino Ventures Inc-f1-02086368_1-1-1,2013-06-04,PEA,2072.3428,2120.530144601892,1853.1350230949888,2577.222905021866,1585.7399015880853,3033.91566544184
2013-000024219 Zincore Metals Inc-f1-02102106_1-1-1,2013-08-06,PFS,2998.2832,2122.1428335711466,1854.5443548217233,2579.1829143906643,1586.9458760723,3036.222995210182
"2013-000029836 Silver Bull Resources, Inc-f1-02133395_2-1-1",2013-09-30,PEA,2094.389,2125.7197093580535,1857.6701928631448,2583.530132104075,1589.6206763682362,3041.3405548500964
2013-000022850 Alexco Resource Corp-f1-02146314_2-1-1,2013-11-15,,1873.927,2126.566057656553,1854.5898265359356,2576.4028880309565,1582.6135954153183,3026.23971840536
2014-000010711 DNI Metals Inc-f1-02155474_1-1-1,2014-01-17,PEA,2072.3428,2127.4951252119067,1855.400071404709,2577.5284831302347,1583.3050175975113,3027.561841048562
2014-000003827 Wildcat Silver Corporation-f1-02155649_1-1-1,2014-01-17,PFS,2028.2504,2127.4951252119067,1855.400071404709,2577.5284831302347,1583.3050175975113,3027.561841048562
2014-000004588 Continental Precious Minerals Inc-f1-02168893_1-1-1,2014-02-06,PEA,2006.2042,2127.627849148386,1873.9569148317328,2579.1251722492743,1620.2859805150797,3030.6224953501624
2017-000002068 SOLITARIO EXPLORATION & ROYALTY CORP-f1-02649783_1-1-1,2014-03-03,PEA,2037.509804,2127.674266352959,1873.9977978468296,2579.1814395052174,1620.3213293407,3030.688612657476
2014-000011649 InZinc Mining Ltd-f1-02204980_1-1-1,2014-03-17,PEA,2204.62,2124.059468976383,1870.8139823396855,2574.7995571613483,1617.5684957029878,3025.5396453463136
