report_id,effective_date,report_type,au_price_usd_troy_oz,knn_mean,band1_low,band1_high,band2_low,band2_high
2008-000001691 HudBay Minerals Inc-f1-01323392_3-1-1,2008-09-19,,700.0,717.7488210545707,566.1553315639352,850.3452150284198,414.5618420732997,982.9416090022689
2008-000004246 Vista Gold Corp-f1-01333162_4-1-1,2008-10-20,FS,850.0,719.8357254036243,577.4608032358802,853.389713596446,435.0858810681362,986.9437017892676
2008-000020132 Cogitore Resources Inc-f1-01357048_1-1-1,2008-10-24,,850.0,720.0415317570478,575.8826273870837,850.879565507923,431.7237230171197,981.7175992587981
2008-000013177 Candente Resource Corp-f1-01357519_3-1-1,2008-11-30,PEA,700.0,722.9327809999453,579.9473494386426,850.8447884043471,436.96191787733994,978.7567958087488
2008-000025315 Andean Resources Limited-f1-01357523_2-1-1,2008-12-01,PFS,800.0,723.1375525675313,580.1116202131642,851.0857911997286,437.08568785879714,979.0340298319261
2009-000000545 SILVERADO GOLD MINES LTD-f1-01363332_1-1-1,2009-01-01,,700.0,730.9860388958605,580.5100542250281,856.2305677166275,430.0340695541956,981.4750965373946
2009-000007862 Golden Band Resources Inc-f1-01384353_1-1-1,2009-01-16,PFS,825.0,733.4351225926367,580.8004216688898,854.0935749881785,428.1657207451429,974.7520273837201
"2009-000006010 Redhawk Resources, Inc-f1-01380852_1-1-1",2009-02-18,PEA,600.0,730.049729512621,592.4734219000986,853.3929298785872,454.8971142875763,976.7361302445535
2009-000001166 Comaplex Minerals Corp-f1-01377866_2-1-1,2009-02-20,PEA,700.0,730.0775681909494,592.4960144391321,853.4254719511367,454.9144606873147,976.7733757113241
2009-000009025 IAMGOLD Corporation-f1-01384641_1-1-3,2009-02-27,,562.1586893671699,729.860053153281,591.8612438999701,848.4728546418469,453.86243464665904,967.0856561304129
2009-000002878 Banro Corporation-f1-01381509_1-1-1,2009-02-27,FS,850.0,729.860053153281,591.8612438999701,848.4728546418469,453.86243464665904,967.0856561304129
2009-000014092 Skyline Gold Corporation-f1-01384343_1-1-1,2009-03-04,PEA,700.0,729.8616432723502,591.8625333661439,848.4747031782342,453.8634234599377,967.0877630841181
2009-000006087 Gabriel Resources Ltd-f1-01384149_1-1-1,2009-03-04,FS,750.0,729.8616432723502,591.8625333661439,848.4747031782342,453.8634234599377,967.0877630841181
2009-000025297 Sandstorm Resources Ltd-f1-01386230_1-3-1,2009-03-06,PFS,765.0,729.8576777101,591.1881378149641,848.1009156900874,452.5185979198281,966.3441536700748
2009-000004130 KINBAURI GOLD CORP-f1-01384831_1-1-1,2009-03-06,PEA,699.48,729.8576777101,591.1881378149641,848.1009156900874,452.5185979198281,966.3441536700748
2009-000024750 South American Silver Corp-f1-01389824_1-1-1,2009-03-13,PEA,800.0,729.8577985971198,589.5145357241709,845.2303579891736,449.171272851222,960.6029173812275
2009-000003456 Gold Hawk Resources Inc-f1-01400028_1-1-1,2009-03-30,,900.0,733.3252543360626,592.0432754660909,849.1306277760021,450.76129659611917,964.9360012159418
2009-000000880 NovaGold Resources Inc-f1-01433772_1-1-1,2009-04-01,FS,725.0,733.3448346558351,592.0590834538621,849.1533001838079,450.7733322518889,964.9617657117806
2009-000014169 Rusoro Mining Ltd-f1-01435225_1-1-1,2009-04-22,PEA,700.0,735.4835628804003,591.7970125577657,848.9355876667684,448.1104622351311,962.3876124531364
2009-000004446 Ontex Resources Limited-f1-01422283_1-1-1,2009-05-04,,850.0,738.8732450666186,588.9221470165462,843.9094542495902,438.97104896647375,948.945663432562
2009-000026184 Troy Resources NL-f1-01435696_1-1-1,2009-05-06,FS,733.0,738.7330145383752,588.1625931489708,844.3800033442363,437.5921717595664,950.0269921500976
2009-000006455 Ely Gold & Minerals Inc-f1-01424660_1-1-1,2009-05-08,PEA,750.0,738.5727510775258,588.0349949898725,844.1968204365488,437.49723890221924,949.8208897955717
2009-000025019 MVE Capital Corp-f1-01430818_1-1-1,2009-05-25,,400.0,742.3709887428587,590.331461854478,850.3375822521099,438.29193496609724,958.3041757613611
2009-000025547 Garson Gold Corp-f1-01435503_1-1-1,2009-05-30,,725.0,742.3929332941115,610.03785017099,865.2289874831737,477.6827670478686,988.0650416722358
2009-000022748 Explorator Resources Inc-f1-01441034_2-1-1,2009-05-30,PEA,680.0,742.3929332941115,610.03785017099,865.2289874831737,477.6827670478686,988.0650416722358
2009-000005760 Sunridge Gold Corp-f1-01443806_1-1-1,2009-06-05,PEA,613.54,746.1550871024089,612.3661325054807,866.6563763841697,478.5771779085526,987.1576656659305
2009-000010193 Chariot Resources Limited-f1-01415384_1-2-1,2009-06-08,FS,700.0,746.220581977195,612.4198838553878,866.732448439209,478.6191857335805,987.244314901223
2009-000022554 Gryphon Gold Corporation-f1-01466880_1-1-1,2009-07-20,PFS,800.0,774.6145243473117,634.2957283720696,893.3774127977189,493.9769323968274,1012.1403012481262
2009-000005589 International Wayside Gold Mines Ltd-f1-01488666_1-1-1,2009-08-17,PFS,750.0,780.8548705649112,644.1641062893113,895.3166388531814,507.47334201371154,1009.7784071414518
2009-000004818 New Gold Inc-f1-01465995_3-1-1,2009-08-25,FS,500.0,781.4573767473682,644.6611421293716,896.0074635256018,507.8649075113749,1010.5575503038353
2009-000009568 Lake Shore Gold Corp-f1-01483540_3-1-1,2009-08-28,,950.0,782.137475806516,645.2221880024763,896.787255042152,508.30690019843644,1011.4370342777879
2009-000011769 Fronteer Development Group Inc-f1-01515022_4-1-1,2009-08-28,PEA,800.0,782.137475806516,645.2221880024763,896.787255042152,508.30690019843644,1011.4370342777879
2009-000022426 MINCO SILVER CORPORATION-f1-01496862_1-1-1,2009-09-01,,767.72,781.9440664614274,645.0626354881442,896.5654947493049,508.18120451486107,1011.1869230371824
2009-000009161 Silver Wheaton Corp-f1-01475484_2-1-1,2009-09-09,FS,800.0,784.2576901272615,646.4604180185769,898.3350968299267,508.66314590989225,1012.4125035325917
2009-000005815 Norsemont Mining Inc-f1-01483747_1-1-1,2009-09-28,FS,800.0,800.1260983919481,653.8690378493496,912.2643989755009,507.6119773067512,1024.4026995590534
2009-000008808 Aura Minerals Inc-f1-01483612_5-1-1,2009-09-30,PEA,800.0,800.4818001006563,654.159719948711,912.6699525578192,507.83763979676576,1024.8581050149821
2009-000013309 La Mancha Resources Inc-f1-01490723_4-1-1,2009-10-01,FS,1101.6404999999995,800.8883163391802,654.4919280622671,913.1334423661832,508.095539785354,1025.3785683931862
2009-000029380 PERSEUS MINING LIMITED-f1-01519387_1-2-2,2009-11-30,FS,850.0,870.2730494411354,727.737550869975,1002.0719480135992,585.2020522988146,1133.8708465860632
2009-000004771 0373849 B.C. Ltd-f1-01518222_1-1-1,2009-12-14,PFS,850.0,872.7618393949659,725.7726191258396,1001.5858742285831,578.7833988567133,1130.4099090622003
