report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2017-000043521 VM Holding S.A-f1-02677003_1-1-2,2017,2017-07-13,VM Holding S.A,PEA,1,zinc_concentrate,zinc,203,,,,,,50,0.6,,8,,85,,
2017-000043521 VM Holding S.A-f1-02677003_1-1-6,2017,2017-07-26,VM Holding S.A,PEA,2,zinc_concentrate,zinc,210,,,,,,50.4,240,,10,,85,70,
2017-000043521 VM Holding S.A-f1-02677003_1-3-2,2017,2017-07-25,VM Holding S.A,PEA,1,zinc_concentrate,zinc,302,,,,,,40,,,11,,,,
2018-000005208 Telson Mining Corporation-f1-02753739_1-1-1,2018,2018-03-30,Telson Mining Corporation,PEA,1,zinc_concentrate,zinc,,,,,,,48.1,251.6,2.1,,,,,
2018-000007701 ZincX Resources Corp-f1-02802129_1-1-1,2018,2018-06-20,ZincX Resources Corp,PEA,2,zinc_concentrate,zinc,190,,,0.5,,,52.4,19,,8,,85,85,
2018-000008846 Great Panther Silver Limited-f1-02795635_3-1-1,2018,2018-07-13,Great Panther Silver Limited,PEA,2,zinc_concentrate,zinc,200,,,,,,50.94,209.92,,8,,85,70,
2018-000017006 Aquila Resources Inc-f1-02820553_2-1-1,2018,2018-08-30,Aquila Resources Inc,FS,1,zinc_concentrate,zinc,209.7826087,,,,,,55,,,8,,85,,
2018-000021345 Deer Horn Capital Inc. (Formerly Deer Horn Metals Inc.)-f1-02783548_1-1-1,2018,2018-05-31,Deer Horn Capital Inc. (Formerly Deer Horn Metals Inc.),PEA,2,zinc_concentrate,zinc,100,,0.1,,,,,,,,,85,,
2018-000026264 Ascendant Resources Inc-f1-02854966_2-1-1,2018,2018-10-22,Ascendant Resources Inc,PEA,1,zinc_concentrate,zinc,147,,,,,,51,,,11.5,,85,70,
2018-000031889 Callinex Mines Inc-f1-02792445_2-1-1,2018,2018-05-14,Callinex Mines Inc,PEA,1,zinc_concentrate,zinc,150,,,0.5,,,,,,,,85,90,
2018-000033050 Trilogy Metals Inc. ( NovaCopper Inc.)-f1-02754710_1-1-1,2018,2018-02-20,Trilogy Metals Inc. ( NovaCopper Inc.),PFS,3,zinc_concentrate,zinc,329.6703297,,,,,,59.2,49.6,0.55,9,,91.7,,
2018-000042438 Fireweed Zinc Ltd-f1-02794233_2-1-1,2018,2018-05-23,Fireweed Zinc Ltd,PEA,2,zinc_concentrate,zinc,190,,,1.5,,,58.4,88,,8,,85,70,
2019-000007910 ABCOURT MINES INC-f1-02910856_3-1-1,2019,2019-01-15,ABCOURT MINES INC,FS,1,zinc_concentrate,zinc,,,,,,,53.4,740.6,,8,,,,
2019-000008483 Alacer Gold Corp-f1-02898115_1-2-1,2019,2019-03-26,Alacer Gold Corp,PFS,2,zinc_concentrate,zinc,296,,,,,2.21,56.4,140,1.9,12,,,65,65
2019-000012585 Americas Silver Corporation-f1-02918824_1-1-1,2019,2019-04-03,Americas Silver Corporation,PFS,1,zinc_concentrate,zinc,,,,,,,,,,,,,,
2019-000022850 Alexco Resource Corp-f1-02914128_1-1-1,2019,2019-03-28,Alexco Resource Corp,PFS,2,zinc_concentrate,zinc,207,,,,,,53,642,,8,,85,70,
2019-000023827 Constantine Metal Resources Ltd-f1-02941623_3-1-1,2019,2019-06-03,Constantine Metal Resources Ltd,PEA,2,zinc_concentrate,zinc,150,,,0.75,6,,61.3,56.7,0.49,8,,85,70,70
2019-000030240 Vendetta Mining Corp-f1-02885600_1-1-1,2019,2019-01-21,Vendetta Mining Corp,PEA,2,zinc_concentrate,zinc,201.1173184,,,,,,54,7.6,,10.5,,85,,
2019-000031610 Nevada Zinc Corporation-f1-02970403_1-1-1,2019,2019-06-27,Nevada Zinc Corporation,PEA,1,zinc_concentrate,zinc,222.2222222,,,,,,45,,,10,,85,,
