report_id,year,effective_date,company,study_type,concentrate_id,concentrate_name,concentrate_type,tc_usd_per_dmt,cu_rc_usd_per_lb,zn_rc_usd_per_lb,ag_rc_usd_per_oz,au_rc_usd_per_oz,cu_grade_pct,zn_grade_pct,ag_grade_gpt,au_grade_gpt,moisture_pct,cu_payability_pct,zn_payability_pct,ag_payability_pct,au_payability_pct
2024-000005620 Troilus Gold Corp-f1-1_1-.pdf (eec5103ff2cd9904),2024,2024-05-14,Troilus Gold Corp,FS,1,copper_gold_concentrate,copper,77,0.077,,0.5,5,13.3,,229,80,8,96.6,,97,98
2024-000006237 First Quantum Minerals Ltd-f1-06086044_1-1-1,2024,2023-09-30,First Quantum Minerals Ltd,FS,1,copper_concentrate,copper,,,,,,99.9,,,,,100,,,
2024-000007638 Southern Silver Exploration Corp-f1-06158987_1-1-1,2024,2024-06-04,Southern Silver Exploration Corp,PEA,3,copper_concentrate,copper,,,,,,27,,,,8.5,90,,90,90
2024-000010678 Trigon Metals Inc-f1-06098799_1-1-1,2024,2024-02-29,Trigon Metals Inc,FS,1,copper_concentrate,copper,75,0.075,,0.5,,26,,129,,8.04,96.5,,90,
2024-000013177 Alta Copper Corp-f1-06144797_1-1-1,2024,2024-05-31,Alta Copper Corp,PEA,1,copper_concentrate,copper,75,0.075,,,,26,,,,9,96.5,,90,93
2024-000024599 Sama Resources Inc-f1-_1-Ressources Sama Inc-06125382 -1-.pdf (2f7b76c4a9b34af4),2024,2024-03-21,Sama Resources Inc,PEA,2,copper_concentrate,copper,114.1304348,,,,,26,,,1.42,8,,,,
2024-000026117 Oroco Resource Corp-f1-06173815_1-1-1,2024,2024-08-15,Oroco Resource Corp,PEA,1,copper_concentrate,copper,75,0.075,,0.5,5,26.6,,,,9,96.2,,90,70.2
2024-000030266 Cordoba Minerals Corp-f1-06064213_1-3-1,2024,2023-12-18,Cordoba Minerals Corp,FS,1,copper_concentrate,copper,80,0.08,,0.4,5,22,,114,6.3,8,95.45,,90,93.5
2024-000043090 SolGold plc-f1-06095451_1-1-1,2024,2023-12-31,SolGold plc,PFS,1,copper_gold_concentrate,copper,79,0.079,,0.5,5,25,,66,13,11,96.6,,97,98
2024-000045664 P2 Gold Inc-f1-06153816_1-1-1,2024,2024-05-17,P2 Gold Inc,PEA,2,copper_concentrate,copper,,,,,,21.1,,,,,,,,
2024-000054671 Aardvark 2 Capital Corp-f1-06206632_1-1-1,2024,2024-05-24,Aardvark 2 Capital Corp,PEA,1,copper_concentrate,copper,93,0.093,,0.35,3.85,23,,,,8,97,,90,96
2024-000054684 Capstone Copper Corp-f1-06183998_1-1-1,2024,2024-07-31,Capstone Copper Corp,FS,1,copper_concentrate,copper,70,0.07,,,5,26.4,,27,3,9,96.55,,,90
2025-000000923 Barrick Gold Corporation-f1-06241751_1-1-2,2025,2024-12-31,Barrick Gold Corporation,FS,1,copper_concentrate,copper,50,0.05,,,,27.8,,,,10,96.55,,,
2025-000001767 DPM Metals Inc-f2-1_1-.pdf (30f36a91a40a0e04),2025,2025-05-28,DPM Metals Inc,FS,1,copper_gold_concentrate,copper,125,,,0.5,5,8.8,,531.7,28.1,,88.7,,90,96
2025-000003116 Aris Mining Corporation-f1-06335076_1-1-1,2025,2025-08-18,Aris Mining Corporation,PFS,1,copper_concentrate,copper,100,0.08,,0.5,10,18,,1711,385,9,96.5,,96,96
2025-000003116 Aris Mining Corporation-f1-06351776_2-1-1,2025,2025-10-21,Aris Mining Corporation,PEA,1,copper_concentrate,copper,50,0.05,,1,8,20.1,,154,112,10,96.5,,93,95
2025-000003212 Taseko Mines Limited-f1-06308885_1-1-1,2025,2025-06-15,Taseko Mines Limited,PFS,1,copper_concentrate,copper,,,,,,25.5,,116,1.7,8,96.1,,90,90
